strategy,side,open_ts,close_ts,entry,exit,qty,pnl,fee,pnl_pct,holding_hrs,reason
grid,long,2020-10-24 19:00,2020-10-25 00:00,12921.4664,13131.67,0.386953,75.94,5.4,1.519,5,grid TP hit (13115.29)
grid,long,2020-10-25 01:00,2020-10-25 03:00,12941.7574,13295.5,0.425529,144.73,5.8,2.628,2,grid TP hit (13135.88)
grid,long,2020-10-25 04:00,2020-10-27 11:00,13112.1328,13449.8,0.463062,145.85,10.51,2.402,55,grid TP hit (13308.81)
grid,long,2020-10-27 12:00,2020-10-27 13:00,13182.2648,13394.52,0.507488,100.83,6.88,1.507,1,grid TP hit (13380.00)
ema,short,2020-10-26 18:00,2020-10-27 15:00,12963.25,13609.24,2.341665,-1552.93,40.23,-5.116,21,SL hit (13126.83)
ema,short,2020-10-28 20:00,2020-10-29 15:00,13197.44,13436.95,3.882484,-994.45,64.56,-1.941,19,SL hit (13431.40)
grid,long,2020-10-27 14:00,2020-10-29 22:00,13189.9675,13398.97,0.558624,104.03,12.72,1.412,56,grid TP hit (13387.82)
grid,long,2020-10-29 23:00,2020-10-30 00:00,13253.8645,13588.15,1.207699,387.1,16.62,2.418,1,grid TP hit (13452.67)
grid,long,2020-10-30 01:00,2020-10-30 20:00,13357.585,13625.92,1.320931,332.18,22.27,1.883,19,grid TP hit (13557.95)
grid,long,2020-10-30 21:00,2020-10-30 22:00,13344.2383,13553.09,1.456835,284.27,19.99,1.462,1,grid TP hit (13544.40)
grid,long,2020-10-30 23:00,2020-10-31 00:00,13356.6985,13615.06,1.603006,392.06,22.1,1.831,1,grid TP hit (13557.05)
grid,long,2020-10-31 01:00,2020-10-31 08:00,13431.5979,13739.94,1.756234,515.28,26.24,2.184,7,grid TP hit (13633.07)
grid,long,2020-10-31 09:00,2020-10-31 11:00,13684.8414,13940.0,1.8997,457.58,27.14,1.76,2,grid TP hit (13890.11)
ema,long,2020-10-29 17:00,2020-11-02 12:00,13584.11,13297.56,5.619464,-1769.98,159.72,-2.319,91,SL hit (13369.16)
grid,long,2020-10-31 12:00,2020-11-03 23:00,13670.3225,14023.53,2.095047,680.12,59.86,2.375,83,grid TP hit (13875.38)
grid,long,2020-11-04 00:00,2020-11-04 01:00,13587.7499,13812.21,2.870792,604.23,40.15,1.549,1,grid TP hit (13791.57)
grid,long,2020-11-04 02:00,2020-11-04 03:00,13549.7191,13897.51,3.170906,1058.19,44.62,2.463,1,grid TP hit (13752.96)
grid,long,2020-11-04 04:00,2020-11-04 15:00,13688.5549,13911.47,3.460036,716.54,54.75,1.513,11,grid TP hit (13893.88)
grid,long,2020-11-04 16:00,2020-11-04 17:00,13813.6498,14068.97,3.776417,910.4,53.79,1.745,1,grid TP hit (14020.85)
grid,long,2020-11-04 18:00,2020-11-04 19:00,13875.4093,14102.26,4.141755,880.42,59.14,1.532,1,grid TP hit (14083.54)
grid,long,2020-11-04 20:00,2020-11-04 22:00,13824.475,14140.94,4.578669,1382.62,66.37,2.184,2,grid TP hit (14031.84)
ema,long,2020-11-03 17:00,2020-11-05 02:00,13731.49,14234.32,13.142653,6344.27,264.25,3.515,33,TP hit (14078.64)
grid,long,2020-11-04 23:00,2020-11-06 19:00,13931.8499,15435.99,5.007188,7411.71,119.8,10.625,44,grid TP hit (14140.83)
grid,long,2020-11-06 20:00,2020-11-06 21:00,15251.7597,15533.23,6.304241,1675.31,99.15,1.742,1,grid TP hit (15480.54)
grid,long,2020-11-06 22:00,2020-11-07 00:00,15360.8878,15607.73,6.89568,1591.83,110.32,1.503,2,grid TP hit (15591.30)
grid,long,2020-11-07 01:00,2020-11-07 18:00,15449.1241,14927.95,7.551544,-4072.35,136.68,-3.491,17,grid SL hit (14985.65)
ema,short,2020-11-07 22:00,2020-11-08 11:00,14800.0,15171.0,43.207135,-16791.86,762.01,-2.626,13,SL hit (15166.94)
