strategy,side,open_ts,close_ts,entry,exit,qty,pnl,fee,pnl_pct,holding_hrs,reason
grid,long,2020-10-25 15:00,2020-10-25 16:00,12746.6289,12999.99,0.392261,94.22,5.16,1.884,1,grid TP hit (12937.83)
grid,long,2020-10-25 17:00,2020-10-25 19:00,12806.9503,13042.16,0.39111,86.76,5.23,1.732,2,grid TP hit (12999.05)
grid,long,2020-10-25 20:00,2020-10-25 21:00,12825.2713,13023.95,0.391188,72.56,5.16,1.446,1,grid TP hit (13017.65)
grid,long,2020-10-25 22:00,2020-10-25 23:00,12816.7905,13028.83,0.391974,77.94,5.17,1.551,1,grid TP hit (13009.04)
grid,long,2020-10-26 00:00,2020-10-26 01:00,12853.4817,13074.06,0.391423,81.16,5.18,1.613,1,grid TP hit (13046.28)
grid,long,2020-10-26 02:00,2020-10-26 03:00,12891.3845,13094.53,0.390862,74.22,5.18,1.473,1,grid TP hit (13084.76)
grid,long,2020-10-26 04:00,2020-10-26 10:00,12912.69,13108.67,0.390753,71.07,5.51,1.409,6,grid TP hit (13106.38)
grid,long,2020-10-26 11:00,2020-10-26 13:00,12947.825,13204.06,0.390203,94.7,5.28,1.874,2,grid TP hit (13142.04)
grid,long,2020-10-26 14:00,2020-10-27 10:00,12969.6624,13262.74,0.390237,107.9,6.47,2.132,20,grid TP hit (13164.21)
ema,short,2020-10-26 18:00,2020-10-27 15:00,12963.25,13609.24,1.75674,-1165.02,30.18,-5.116,21,SL hit (13126.83)
ema,short,2020-10-28 20:00,2020-10-29 15:00,13197.44,13436.95,1.770523,-453.5,29.44,-1.941,19,SL hit (13431.40)
grid,long,2020-10-27 11:00,2020-10-29 23:00,13248.053,13455.7,0.210744,38.8,4.96,1.39,60,grid TP hit (13446.77)
grid,long,2020-10-30 00:00,2020-10-30 20:00,13384.3278,13625.92,0.193776,43.51,3.3,1.678,20,grid TP hit (13585.09)
grid,long,2020-10-30 21:00,2020-10-30 22:00,13344.2383,13553.09,0.194664,37.98,2.67,1.462,1,grid TP hit (13544.40)
grid,long,2020-10-30 23:00,2020-10-31 00:00,13356.6985,13615.06,0.194748,47.63,2.68,1.831,1,grid TP hit (13557.05)
grid,long,2020-10-31 01:00,2020-10-31 08:00,13431.5979,13739.94,0.193997,56.92,2.9,2.184,7,grid TP hit (13633.07)
grid,long,2020-10-31 09:00,2020-10-31 11:00,13684.8414,13940.0,0.190804,45.96,2.73,1.76,2,grid TP hit (13890.11)
ema,long,2020-10-29 17:00,2020-11-02 12:00,13584.11,13297.56,1.702573,-536.27,48.39,-2.319,91,SL hit (13369.16)
grid,long,2020-10-31 12:00,2020-11-03 23:00,13670.3225,14023.53,0.191324,62.11,5.47,2.375,83,grid TP hit (13875.38)
grid,long,2020-11-04 00:00,2020-11-04 01:00,13587.7499,13812.21,0.189278,39.84,2.65,1.549,1,grid TP hit (13791.57)
grid,long,2020-11-04 02:00,2020-11-04 03:00,13549.7191,13897.51,0.190084,63.43,2.67,2.463,1,grid TP hit (13752.96)
grid,long,2020-11-04 04:00,2020-11-04 15:00,13688.5549,13911.47,0.188601,39.06,2.98,1.513,11,grid TP hit (13893.88)
grid,long,2020-11-04 16:00,2020-11-04 17:00,13813.6498,14068.97,0.187157,45.12,2.67,1.745,1,grid TP hit (14020.85)
grid,long,2020-11-04 18:00,2020-11-04 19:00,13875.4093,14102.26,0.18663,39.67,2.66,1.532,1,grid TP hit (14083.54)
grid,long,2020-11-04 20:00,2020-11-04 22:00,13824.475,14140.94,0.187586,56.65,2.72,2.184,2,grid TP hit (14031.84)
ema,long,2020-11-03 17:00,2020-11-05 02:00,13731.49,14234.32,1.679648,810.81,33.77,3.515,33,TP hit (14078.64)
grid,long,2020-11-04 23:00,2020-11-06 19:00,13931.8499,15435.99,0.186528,276.1,4.46,10.625,44,grid TP hit (14140.83)
grid,long,2020-11-06 20:00,2020-11-06 21:00,15251.7597,15533.23,0.328718,87.35,5.17,1.742,1,grid TP hit (15480.54)
grid,long,2020-11-06 22:00,2020-11-07 00:00,15360.8878,15607.73,0.326918,75.47,5.23,1.503,2,grid TP hit (15591.30)
grid,long,2020-11-07 01:00,2020-11-07 18:00,15449.1241,14927.95,0.325507,-175.54,5.89,-3.491,17,grid SL hit (14985.65)
ema,short,2020-11-07 22:00,2020-11-08 11:00,14800.0,15171.0,1.438642,-559.11,25.37,-2.626,13,SL hit (15166.94)
grid,long,2020-11-08 20:00,2020-11-08 22:00,15144.6705,15500.0,0.138535,47.02,2.2,2.241,2,grid TP hit (15371.84)
grid,long,2020-11-08 23:00,2020-11-09 00:00,15242.9735,15549.62,0.137937,40.13,2.17,1.908,1,grid TP hit (15471.62)
grid,long,2020-11-09 01:00,2020-11-09 11:00,15276.6506,15802.39,0.137881,70.04,2.45,3.325,10,grid TP hit (15505.80)
grid,long,2020-11-09 12:00,2020-11-11 10:00,15331.791,15590.79,0.137829,32.31,3.38,1.529,46,grid TP hit (15561.77)
grid,long,2020-11-11 11:00,2020-11-11 12:00,15340.8628,15620.0,0.137944,36.32,2.18,1.716,1,grid TP hit (15570.98)
grid,long,2020-11-11 13:00,2020-11-11 14:00,15324.4822,15636.49,0.138315,40.97,2.19,1.933,1,grid TP hit (15554.35)
grid,long,2020-11-11 15:00,2020-11-11 16:00,15432.2609,15756.43,0.1376,42.41,2.2,1.997,1,grid TP hit (15663.74)
