strategy,side,open_ts,close_ts,entry,exit,qty,pnl,fee,pnl_pct,holding_hrs,reason
grid,long,2024-04-19 06:00,2024-04-19 14:00,2368.8265,2405.9,2.11075,52.49,25.76,1.05,8,grid TP hit (2404.36)
grid,long,2024-04-19 15:00,2024-04-19 16:00,2373.5545,2414.6,2.107694,60.74,25.77,1.214,1,grid TP hit (2409.16)
grid,long,2024-04-19 17:00,2024-04-19 18:00,2372.471,2413.1,2.110153,59.96,25.77,1.198,1,grid TP hit (2408.06)
grid,long,2024-04-19 19:00,2024-04-19 20:00,2366.4625,2406.7,2.116979,59.41,25.77,1.186,1,grid TP hit (2401.96)
grid,long,2024-04-21 22:00,2024-04-21 23:00,2362.3255,2400.7,2.122133,55.67,25.77,1.11,1,grid TP hit (2397.76)
ema,long,2024-05-02 02:00,2024-05-02 08:00,2329.6,2313.4,9.684209,-190.03,33.14,-0.842,6,SL hit (2317.43)
ema,short,2024-05-02 09:00,2024-05-06 15:00,2311.2,2333.4,9.7135,-248.9,33.26,-1.109,52,SL hit (2322.10)
ema,short,2024-05-13 17:00,2024-05-14 09:00,2341.9,2351.5,9.526425,-124.6,33.14,-0.558,15,SL hit (2351.45)
grid,long,2024-04-22 00:00,2024-05-17 12:00,2360.5525,2397.8,2.125016,53.38,25.77,1.064,449,grid TP hit (2395.96)
grid,long,2024-05-17 13:00,2024-05-21 02:00,2370.0085,2417.2,2.090034,72.88,25.75,1.471,35,grid TP hit (2405.56)
grid,long,2024-05-21 07:00,2024-05-21 08:00,2386.655,2422.5,2.077454,48.72,25.74,0.983,1,grid TP hit (2422.45)
grid,long,2024-05-21 09:00,2024-05-21 10:00,2383.6015,2423.7,2.081101,57.7,25.75,1.163,1,grid TP hit (2419.36)
grid,long,2024-05-21 11:00,2024-05-21 12:00,2391.0875,2430.2,2.075944,55.45,25.75,1.117,1,grid TP hit (2426.95)
grid,long,2024-05-21 13:00,2024-05-21 14:00,2395.2245,2433.6,2.073621,53.83,25.75,1.084,1,grid TP hit (2431.15)
grid,long,2024-05-21 15:00,2024-05-21 16:00,2390.6935,2426.9,2.078748,49.52,25.75,0.996,1,grid TP hit (2426.55)
grid,long,2024-05-21 17:00,2024-05-21 18:00,2387.64,2424.6,2.082424,51.22,25.75,1.03,1,grid TP hit (2423.45)
ema,long,2024-05-29 03:00,2024-05-29 08:00,2358.8,2345.8,9.485093,-156.38,33.08,-0.699,5,SL hit (2350.57)
ema,short,2024-06-02 23:00,2024-06-06 01:00,2346.1,2386.6,9.496525,-417.86,33.26,-1.876,71,SL hit (2379.51)
ema,short,2024-06-07 12:00,2024-06-07 19:00,2337.2,2305.8,9.436691,263.44,32.87,1.194,7,TP hit (2307.56)
grid,long,2024-05-21 19:00,2024-06-11 02:00,2391.0875,2319.1,2.080508,-175.43,25.66,-3.526,305,grid SL hit (2319.35)
grid,long,2024-06-11 03:00,2024-06-11 04:00,2285.791,2320.5,2.149924,48.9,25.73,0.995,1,grid TP hit (2320.08)
grid,long,2024-06-11 05:00,2024-06-11 10:00,2281.5555,2324.9,2.154954,67.67,25.73,1.376,5,grid TP hit (2315.78)
grid,long,2024-06-11 11:00,2024-06-11 12:00,2290.0265,2335.2,2.148837,71.33,25.74,1.45,1,grid TP hit (2324.38)
grid,long,2024-06-11 13:00,2024-06-11 14:00,2296.9215,2331.9,2.144395,49.28,25.73,1.0,1,grid TP hit (2331.38)
grid,long,2024-06-11 15:00,2024-06-11 17:00,2292.292,2330.0,2.149776,55.33,25.73,1.123,2,grid TP hit (2326.68)
grid,long,2024-06-11 18:00,2024-06-11 19:00,2295.9365,2332.4,2.147675,52.58,25.73,1.066,1,grid TP hit (2330.38)
grid,long,2024-06-11 20:00,2024-06-11 22:00,2298.8915,2333.7,2.146105,48.97,25.73,0.993,1,grid TP hit (2333.37)
grid,long,2024-06-11 23:00,2024-06-12 05:00,2297.1185,2331.7,2.148796,48.57,25.73,0.984,6,grid TP hit (2331.58)
grid,long,2024-06-12 06:00,2024-06-12 07:00,2296.429,2331.2,2.150459,49.04,25.74,0.993,1,grid TP hit (2330.88)
grid,long,2024-06-12 08:00,2024-06-12 09:00,2294.656,2330.7,2.153159,51.87,25.74,1.05,1,grid TP hit (2329.08)
grid,long,2024-06-12 10:00,2024-06-12 11:00,2295.1485,2329.7,2.153858,48.68,25.74,0.985,1,grid TP hit (2329.58)
