ts,capital,regime
2024-04-19 06:00,50050.91,ranging
2024-04-19 07:00,50040.99,ranging
2024-04-19 08:00,50038.04,ranging
2024-04-19 09:00,50031.49,ranging
2024-04-19 10:00,50031.7,ranging
2024-04-19 11:00,50022.63,ranging
2024-04-19 12:00,50032.76,ranging
2024-04-19 13:00,50026.64,ranging
2024-04-19 14:00,50027.26,ranging
2024-04-19 15:00,50078.21,ranging
2024-04-19 16:00,50062.77,ranging
2024-04-19 17:00,50113.78,ranging
2024-04-19 18:00,50097.5,ranging
2024-04-19 19:00,50148.56,ranging
2024-04-19 20:00,50131.68,ranging
2024-04-21 22:00,50182.79,ranging
2024-04-21 23:00,50162.11,ranging
2024-04-22 00:00,50213.27,ranging
2024-04-22 01:00,50204.34,ranging
2024-04-22 02:00,50192.65,ranging
2024-04-22 03:00,50184.58,ranging
2024-04-22 04:00,50185.43,ranging
2024-04-22 05:00,50176.5,ranging
2024-04-22 06:00,50156.32,ranging
2024-04-22 07:00,50167.15,ranging
2024-04-22 08:00,50164.39,trending
2024-04-22 09:00,50167.79,trending
2024-04-22 10:00,50160.14,trending
2024-04-22 11:00,50127.2,trending
2024-04-22 12:00,50115.52,trending
2024-04-22 13:00,50119.77,trending
2024-04-22 14:00,50125.5,trending
2024-04-22 15:00,50111.48,trending
2024-04-22 16:00,50101.07,trending
2024-04-22 17:00,50101.7,trending
2024-04-22 18:00,50096.18,trending
2024-04-22 19:00,50100.22,trending
2024-04-22 20:00,50095.54,trending
2024-04-22 22:00,50102.34,trending
2024-04-22 23:00,50108.93,trending
2024-04-23 00:00,50106.38,trending
2024-04-23 01:00,50033.92,trending
2024-04-23 02:00,50040.08,trending
2024-04-23 03:00,50043.05,trending
2024-04-23 04:00,50048.15,trending
2024-04-23 05:00,50054.53,trending
2024-04-23 06:00,50040.93,trending
2024-04-23 07:00,50056.44,trending
2024-04-23 08:00,50043.9,trending
2024-04-23 09:00,50027.33,trending
2024-04-23 10:00,50044.33,trending
2024-04-23 11:00,50041.99,trending
2024-04-23 12:00,50062.39,trending
2024-04-23 13:00,50099.37,trending
2024-04-23 14:00,50080.24,trending
2024-04-23 15:00,50086.62,trending
2024-04-23 16:00,50102.13,trending
2024-04-23 17:00,50093.63,trending
2024-04-23 18:00,50088.95,trending
2024-04-23 19:00,50084.49,trending
2024-04-23 20:00,50084.07,trending
2024-04-23 22:00,50083.22,trending
2024-04-23 23:00,50086.4,trending
2024-04-24 00:00,50081.3,trending
2024-04-24 01:00,50075.57,trending
2024-04-24 02:00,50082.15,ranging
2024-04-24 03:00,50095.54,ranging
2024-04-24 04:00,50092.99,ranging
2024-04-24 05:00,50097.03,ranging
2024-04-24 06:00,50092.78,ranging
2024-04-24 07:00,50079.6,ranging
2024-04-24 08:00,50077.05,ranging
2024-04-24 09:00,50068.13,ranging
2024-04-24 10:00,50071.74,ranging
2024-04-24 11:00,50070.47,ranging
2024-04-24 12:00,50085.77,ranging
2024-04-24 13:00,50081.73,ranging
2024-04-24 14:00,50099.79,ranging
2024-04-24 15:00,50084.7,ranging
2024-04-24 16:00,50090.23,ranging
2024-04-24 17:00,50088.32,ranging
2024-04-24 18:00,50079.6,ranging
2024-04-24 19:00,50076.42,ranging
2024-04-24 20:00,50069.62,ranging
2024-04-24 22:00,50071.95,ranging
2024-04-24 23:00,50068.13,ranging
2024-04-25 00:00,50074.08,ranging
2024-04-25 01:00,50073.65,ranging
2024-04-25 02:00,50075.35,ranging
2024-04-25 03:00,50061.33,ranging
2024-04-25 04:00,50065.58,ranging
2024-04-25 05:00,50074.72,ranging
2024-04-25 06:00,50082.37,ranging
2024-04-25 07:00,50088.95,ranging
2024-04-25 08:00,50091.72,ranging
2024-04-25 09:00,50087.25,ranging
2024-04-25 10:00,50094.27,ranging
2024-04-25 11:00,50094.69,ranging
2024-04-25 12:00,50099.79,ranging
2024-04-25 13:00,50074.29,ranging
2024-04-25 14:00,50106.38,ranging
2024-04-25 15:00,50098.52,ranging
2024-04-25 16:00,50095.12,ranging
2024-04-25 17:00,50102.77,ranging
2024-04-25 18:00,50104.47,ranging
2024-04-25 19:00,50104.47,ranging
2024-04-25 20:00,50102.98,ranging
2024-04-25 22:00,50103.19,ranging
2024-04-25 23:00,50098.52,ranging
2024-04-26 00:00,50097.03,ranging
2024-04-26 01:00,50102.34,ranging
2024-04-26 02:00,50105.74,ranging
2024-04-26 03:00,50108.08,ranging
2024-04-26 04:00,50110.42,ranging
2024-04-26 05:00,50114.24,ranging
2024-04-26 06:00,50120.19,ranging
