2026-04-12 20:45 | BUY BTC | price=71337.00 | qty=0.017522 | capital=50000.00
2026-04-13 22:55 | SELL BTC | price=74659.23 | pnl=58.21 | capital=50058.21
2026-04-14 00:55 | BUY BTC | price=74150.15 | qty=0.016877 | capital=50058.21
2026-04-17 14:35 | SELL BTC | price=77760.31 | pnl=60.93 | capital=50119.14
2026-04-17 14:40 | BUY BTC | price=77877.93 | qty=0.016089 | capital=50119.14
2026-05-05 13:10 | SELL BTC | price=81590.41 | pnl=59.73 | capital=50178.87
2026-05-05 13:15 | BUY BTC | price=81629.99 | qty=0.015368 | capital=50178.87
2026-05-22 19:35 | SELL BTC | price=75855.98 | pnl=-88.73 | capital=50090.14
2026-05-22 19:40 | BUY BTC | price=75821.08 | qty=0.016516 | capital=50090.14
2026-06-02 02:10 | SELL BTC | price=70252.57 | pnl=-91.97 | capital=49998.17
2026-06-02 02:15 | BUY BTC | price=70350.58 | qty=0.017768 | capital=49998.17
2026-06-03 19:55 | SELL BTC | price=65341.00 | pnl=-89.01 | capital=49909.16
2026-06-03 20:45 | BUY BTC | price=65196.24 | qty=0.019138 | capital=49909.16
2026-06-05 14:25 | SELL BTC | price=60537.30 | pnl=-89.16 | capital=49820.00
2026-06-05 14:30 | BUY BTC | price=60476.61 | qty=0.020595 | capital=49820.00
2026-06-07 22:15 | SELL BTC | price=63786.43 | pnl=68.16 | capital=49888.16
2026-06-07 22:20 | BUY BTC | price=63112.68 | qty=0.019762 | capital=49888.16
2026-06-15 11:20 | SELL BTC | price=66206.20 | pnl=61.13 | capital=49949.30
2026-06-15 11:25 | BUY BTC | price=66318.95 | qty=0.018829 | capital=49949.30
2026-06-24 13:45 | SELL BTC | price=61517.30 | pnl=-90.41 | capital=49858.89
2026-06-24 13:50 | BUY BTC | price=61482.04 | qty=0.020274 | capital=49858.89
