date,time,label,available,used,total
2026-03-19,05:30:13,BEFORE,99999.00,0.00,99999.00
2026-03-19,05:30:25,AFTER,99999.00,0.00,99999.00
2026-03-19,09:30:36,BEFORE,31224.20,0.00,31224.20
2026-03-19,09:30:47,AFTER,31224.20,0.00,31224.20
2026-03-19,09:44:45,BEFORE,31224.20,0.00,31224.20
2026-03-19,09:46:58,AFTER,31224.20,2994.56,28229.64
2026-03-19,09:57:16,BEFORE,99999.00,0.00,99999.00
2026-03-19,09:57:28,AFTER,99999.00,0.00,99999.00
2026-03-19,10:13:25,BEFORE,99999.00,0.00,99999.00
2026-03-19,10:13:37,AFTER,99999.00,0.00,99999.00
2026-03-19,10:19:14,BEFORE,99999.00,0.00,99999.00
2026-03-19,10:19:26,AFTER,99999.00,0.00,99999.00
2026-03-19,10:23:48,BEFORE,99999.00,0.00,99999.00
2026-03-19,10:24:00,AFTER,99999.00,0.00,99999.00
2026-03-19,10:45:33,BEFORE,99999.00,0.00,99999.00
2026-03-19,10:45:45,AFTER,99999.00,0.00,99999.00
2026-03-19,10:47:03,BEFORE,99999.00,0.00,99999.00
2026-03-19,10:47:15,AFTER,99999.00,0.00,99999.00
2026-03-19,10:50:28,BEFORE,99999.00,0.00,99999.00
2026-03-19,10:50:40,AFTER,99999.00,0.00,99999.00
2026-03-19,10:53:42,BEFORE,99999.00,0.00,99999.00
2026-03-19,10:53:44,AFTER,99999.00,0.00,99999.00
2026-03-19,10:55:40,BEFORE,99999.00,0.00,99999.00
2026-03-19,10:55:43,AFTER,99999.00,0.00,99999.00
2026-03-19,11:13:25,BEFORE,99999.00,0.00,99999.00
2026-03-19,11:13:27,AFTER,99999.00,0.00,99999.00
2026-03-20,09:30:31,BEFORE,31234.90,0.00,31234.90
2026-03-20,09:32:45,AFTER,31234.90,2983.50,28251.40
2026-03-23,09:33:02,BEFORE,28162.80,0.00,28162.80
2026-03-23,09:35:16,AFTER,28162.80,2989.35,25173.45
2026-03-24,09:30:31,BEFORE,25173.30,0.00,25173.30
2026-03-24,09:32:47,AFTER,25173.30,2904.12,22269.18
2026-03-25,09:30:30,BEFORE,22269.10,0.00,22269.10
2026-03-25,09:32:44,AFTER,22269.10,2768.55,19500.55
2026-03-26,09:30:32,BEFORE,19500.40,0.00,19500.40
2026-03-26,09:32:45,AFTER,19500.40,0.00,19500.40
2026-03-27,09:30:30,BEFORE,19500.40,0.00,19500.40
2026-03-27,09:32:44,AFTER,19500.40,2945.25,16555.15
2026-03-30,09:30:34,BEFORE,16555.10,0.00,16555.10
2026-03-30,09:32:48,AFTER,16555.10,2979.76,13575.34
2026-03-31,09:30:34,BEFORE,13575.20,0.00,13575.20
2026-03-31,09:32:37,AFTER,13575.20,0.00,13575.20
2026-04-01,09:30:33,BEFORE,13575.20,0.00,13575.20
2026-04-01,09:32:36,AFTER,13575.20,0.00,13575.20
2026-04-01,13:55:17,BEFORE,99999.00,0.00,99999.00
2026-04-01,13:55:19,AFTER,99999.00,0.00,99999.00
2026-04-02,05:10:58,BEFORE,13575.20,0.00,63575.20
2026-04-02,05:55:40,BEFORE,13575.20,0.00,63575.20
2026-04-02,06:00:46,BEFORE,13575.20,0.00,63575.20
2026-04-02,06:03:00,AFTER,13575.20,2986.56,60588.64
2026-04-02,09:30:34,BEFORE,13575.20,2986.56,60588.64
2026-04-02,09:32:48,AFTER,13575.20,5636.56,57938.64
2026-04-03,09:30:33,BEFORE,57937.40,0.00,57937.40
2026-04-03,09:32:37,AFTER,57937.40,0.00,57937.40
2026-04-03,10:12:42,BEFORE,57937.40,0.00,57937.40
2026-04-07,09:40:33,BEFORE,57432.0,2996.2,54435.8
2026-04-07,09:40:35,AFTER,57432.0,5985.16,51446.84
2026-04-08,09:32:44,BEFORE,51445.6,-18955.46,70401.06
2026-04-08,09:32:46,AFTER,51445.6,-19102.91,70548.51
2026-04-09 09:30:22.275499,BEFORE,70501.5,0.0,70501.5
2026-04-09 09:30:23.982909,AFTER,70501.5,2957.42,67544.08
