date,code,qty,price,cost,ticket,rsi,dip
2020-01-01,NSE:HDFCSENSEX,137,43.5644,5968.32,6000.0,66.11,0.006
2020-01-02,NSE:CONSUMBEES,112,53.15,5952.8,6000.0,66.42,0.0096
2020-01-03,NSE:LOWVOLIETF,654,9.169,5996.53,6000.0,59.8,0.0029
2020-01-06,NSE:MIDSELIETF,933,6.43,5999.19,6000.0,44.18,-0.0115
2020-01-07,NSE:PVTBANIETF,343,17.449,5985.01,6000.0,45.02,-0.018
2020-01-08,NSE:NV20IETF,1054,5.689,5996.21,6000.0,44.2,-0.0047
2020-01-09,NSE:CPSEETF,261,22.96,5992.56,6000.0,53.39,-0.0042
2020-01-10,NSE:MOM100,327,18.31,5987.37,6000.0,69.78,0.0225
2020-01-13,NSE:ICICIB22,173,34.67,5997.91,6000.0,61.11,0.013
2020-01-14,NSE:MON100,95,62.817,5967.62,6000.0,67.72,0.0209
2020-01-15,NSE:PSUBNKBEES,221,27.09,5986.89,6000.0,44.33,0.0849
2020-01-16,NSE:BANKBEES,18,325.16,5852.88,6000.0,41.77,0.0927
2020-01-17,NSE:MIDSELIETF,873,6.876,6002.75,6007.38,66.31,0.0419
2020-01-20,NSE:NIFTYBEES,46,129.78,5969.88,6007.38,53.28,0.0013
2020-01-21,NSE:HNGSNGBEES,16,368.75,5900.0,6007.38,54.75,0.0219
2020-02-12,NSE:MON100,89,67.138,5975.28,6015.03,65.59,0.0319
2020-06-04,NSE:MON100,83,71.803,5959.65,6022.29,73.49,0.0334
2020-07-07,NSE:MON100,77,77.514,5968.58,6029.98,65.5,0.0364
2020-08-10,NSE:MON100,73,82.098,5993.15,6037.41,54.84,0.0309
2020-08-28,NSE:MON100,70,86.031,6022.17,6044.72,66.94,0.0344
2020-09-14,NSE:ALPL30IETF,505,11.95,6034.75,6044.72,51.48,0.0091
2020-09-21,NSE:LOWVOLIETF,633,9.555,6048.32,6051.79,56.94,0.002
2020-10-09,NSE:NV20IETF,995,6.089,6058.56,6058.92,61.42,0.0371
2020-11-09,NSE:LOWVOLIETF,589,10.292,6061.99,6066.92,70.54,0.0299
2020-11-14,NSE:CONSUMBEES,103,58.73,6049.19,6074.08,75.55,0.0689
2020-11-18,NSE:HDFCSENSEX,129,46.85,6043.65,6082.34,86.75,0.0599
2020-11-19,NSE:MOM100,309,19.66,6074.94,6089.88,86.22,0.0643
2020-11-24,NSE:ALPL30IETF,472,12.917,6096.82,6098.38,69.63,0.0318
2020-11-25,NSE:NIFTYBEES,44,137.39,6045.16,6106.64,74.78,0.0329
2020-11-26,NSE:NV20IETF,941,6.496,6112.74,6113.99,74.83,0.0354
2020-12-01,NSE:MIDSELIETF,822,7.446,6120.61,6122.0,83.61,0.0614
2020-12-03,NSE:MOM100,293,20.85,6109.05,6129.34,87.85,0.0667
