date,code,qty,price,cost,ticket,rsi,dip
2020-01-01,NSE:NIFTYBEES,46,129.42,5953.32,6000.0,50.66,0.1099
2020-01-02,NSE:BANKBEES,18,331.93,5974.74,6000.0,50.77,0.1184
2020-01-03,NSE:PSUBNKBEES,215,27.82,5981.3,6000.0,49.59,0.105
2020-01-06,NSE:MIDSELIETF,933,6.43,5999.19,6000.0,44.18,-0.0115
2020-01-07,NSE:HDFCSENSEX,139,43.1,5990.9,6000.0,42.52,-0.0075
2020-01-08,NSE:PVTBANIETF,344,17.398,5984.91,6000.0,41.35,-0.021
2020-01-09,NSE:CONSUMBEES,115,52.12,5993.8,6000.0,40.51,-0.0087
2020-01-10,NSE:NV20IETF,1041,5.76,5996.16,6000.0,49.01,0.0054
2020-01-13,NSE:HNGSNGBEES,16,359.27,5748.32,6000.0,54.7,0.1257
2020-01-14,NSE:LOWVOLIETF,637,9.414,5996.72,6000.0,58.79,0.0202
2020-01-15,NSE:CPSEETF,251,23.82,5978.82,6000.0,67.24,0.0261
2020-01-16,NSE:ICICIB22,173,34.64,5992.72,6000.0,55.63,0.0091
2020-01-17,NSE:MIDSELIETF,873,6.876,6002.75,6007.38,66.31,0.0419
2020-01-20,NSE:MON100,91,65.382,5949.76,6007.38,75.64,0.0487
2020-01-21,NSE:MOM100,314,19.08,5991.12,6007.38,78.95,0.0446
2020-01-27,NSE:HNGSNGBEES,15,383.0,5745.0,6016.89,59.37,0.0455
2020-05-21,NSE:MON100,86,69.84,6006.24,6024.78,61.75,0.0379
2020-06-11,NSE:MON100,81,73.969,5991.49,6032.14,70.51,0.0456
2020-07-13,NSE:MON100,75,80.398,6029.85,6040.03,69.44,0.0584
2020-08-27,NSE:MON100,69,87.493,6037.02,6048.33,72.27,0.0561
2020-08-28,NSE:CONSUMBEES,109,55.55,6054.95,6056.69,69.38,0.0281
2020-09-14,NSE:ALPL30IETF,506,11.95,6046.7,6056.69,51.48,0.0091
2020-10-13,NSE:NV20IETF,982,6.169,6057.96,6063.95,76.67,0.0451
2020-10-14,NSE:LOWVOLIETF,610,9.938,6062.18,6071.4,71.28,0.0237
2020-11-13,NSE:HDFCSENSEX,133,45.6446,6070.73,6078.56,75.4,0.0445
2020-11-19,NSE:NIFTYBEES,44,136.25,5995.0,6085.8,85.35,0.0425
2020-11-24,NSE:ALPL30IETF,471,12.917,6083.91,6094.31,69.63,0.0318
2020-11-25,NSE:LOWVOLIETF,578,10.551,6098.48,6102.43,79.54,0.0254
2020-12-01,NSE:MIDSELIETF,820,7.446,6105.72,6110.43,83.61,0.0614
2020-12-02,NSE:MOM100,292,20.94,6114.48,6121.22,88.46,0.0792
2020-12-03,NSE:NV20IETF,922,6.644,6125.77,6129.73,74.54,0.0396
2020-12-07,NSE:CONSUMBEES,101,60.38,6098.38,6138.55,61.7,0.0501
2020-12-09,NSE:HDFCSENSEX,125,49.0,6125.0,6146.41,75.29,0.0436
2020-12-16,NSE:CONSUMBEES,97,63.43,6152.71,6157.93,73.15,0.061
2020-12-17,NSE:NIFTYBEES,42,146.56,6155.52,6165.79,93.79,0.0379
2020-12-21,NSE:LOWVOLIETF,564,10.941,6170.72,6173.6,63.81,0.0066
2020-12-28,NSE:NV20IETF,864,7.148,6175.87,6181.12,70.79,0.0412
2020-12-29,NSE:ALPL30IETF,450,13.737,6181.65,6188.79,64.45,0.0221
2020-12-30,NSE:MON100,66,92.78,6123.48,6196.41,57.83,0.0146
2021-01-05,NSE:MOM100,275,22.49,6184.75,6204.83,63.39,0.0394
2021-01-06,NSE:MIDSELIETF,758,8.194,6211.05,6216.02,65.17,0.0559
2021-01-11,NSE:LOWVOLIETF,522,11.922,6223.28,6224.57,94.39,0.0511
2021-01-12,NSE:HDFCSENSEX,119,52.2075,6212.69,6231.98,76.7,0.0322
2021-01-13,NSE:NV20IETF,816,7.638,6232.61,6239.23,88.41,0.0581
2021-01-20,NSE:CONSUMBEES,94,66.29,6231.26,6246.83,64.46,0.0216
2021-01-21,NSE:NIFTYBEES,40,156.02,6240.8,6254.81,72.23,0.025
2021-01-27,NSE:HDFCSENSEX,123,50.725,6239.17,6263.58,47.68,-0.0223
2021-02-04,NSE:PVTBANIETF,333,18.821,6267.39,6271.25,65.24,0.0778
2021-02-05,NSE:BANKBEES,17,357.81,6082.77,6278.71,69.06,0.0965
2021-02-09,NSE:HDFCSENSEX,115,54.2729,6241.38,6287.09,56.41,0.0342
2021-02-11,NSE:MON100,63,98.567,6209.72,6294.48,59.09,0.0287
2021-02-12,NSE:MIDSELIETF,720,8.743,6294.96,6301.94,71.19,0.0468
2021-02-15,NSE:MOM100,262,24.07,6306.34,6309.23,78.99,0.0379
2021-02-18,NSE:ICICIB22,166,37.9,6291.4,6317.07,89.77,0.0765
2021-03-04,NSE:MOM100,243,25.97,6310.71,6325.87,80.06,0.06
2021-04-09,NSE:ALPL30IETF,427,14.823,6329.42,6333.69,81.61,0.0501
2021-04-12,NSE:NV20IETF,805,7.869,6334.54,6341.41,54.61,0.0045
2021-05-14,NSE:CPSEETF,254,24.91,6327.14,6349.27,84.58,0.0753
2021-06-01,NSE:NIFTYBEES,38,166.88,6341.44,6357.31,77.68,0.0376
2021-06-02,NSE:LOWVOLIETF,503,12.629,6352.39,6364.71,91.11,0.0263
2021-06-04,NSE:MOM100,230,27.7,6371.0,6372.73,83.15,0.0355
2021-06-08,NSE:ICICIB22,158,40.35,6375.3,6380.52,81.31,0.0412
2021-06-09,NSE:MIDSELIETF,690,9.252,6383.88,6388.05,88.97,0.0412
2021-06-10,NSE:MAFANG,130,49.09,6381.7,6388.05,73.47,0.0164
2021-06-11,NSE:NV20IETF,757,8.438,6387.57,6395.82,93.1,0.0319
2021-06-14,NSE:CPSEETF,238,26.8,6378.4,6404.89,78.42,0.0488
2021-06-16,NSE:ALPL30IETF,404,15.839,6398.96,6413.54,87.9,0.0281
2021-06-25,NSE:MAFANG,120,53.49,6418.8,6421.3,79.63,0.0675
2021-06-28,NSE:MON100,60,105.41,6324.6,6429.26,51.58,0.145
2021-07-27,NSE:CONSUMBEES,92,69.78,6419.76,6437.63,51.41,0.0068
2021-08-03,NSE:MOM100,217,29.58,6418.86,6446.24,59.14,0.0229
2021-08-04,NSE:PHARMABEES,441,14.61,6443.01,6446.24,51.93,0.0101
2021-08-06,NSE:HDFCSENSEX,111,58.013,6439.44,6454.28,68.15,0.0206
2021-08-16,NSE:NV20IETF,715,9.034,6459.31,6462.88,84.76,0.0326
2021-08-17,NSE:NIFTYBEES,36,178.91,6440.76,6471.21,92.84,0.0326
2021-08-18,NSE:LOWVOLIETF,479,13.517,6474.64,6479.48,90.07,0.0218
2021-08-20,NSE:MIDSELIETF,668,9.699,6478.93,6487.01,51.0,0.0016
2021-08-23,NSE:ALPL30IETF,381,17.038,6491.48,6495.91,74.03,0.0322
2021-08-25,NSE:MON100,57,113.02,6442.14,6503.81,63.95,0.0199
2021-09-02,NSE:CONSUMBEES,85,75.79,6442.15,6513.07,80.84,0.0549
2021-09-03,NSE:HDFCSENSEX,105,61.731,6481.75,6520.71,72.66,0.0261
2021-09-06,NSE:MIDSELIETF,632,10.327,6526.66,6528.58,77.4,0.048
2021-09-07,NSE:FMCGIETF,161,40.419,6507.46,6528.58,86.69,0.0499
2021-09-14,NSE:ALPL30IETF,359,18.169,6522.67,6538.72,80.46,0.0412
