date,equity
2020-01-01,300000.0
2020-01-02,300045.98
2020-01-03,299926.28
2020-01-06,299952.34
2020-01-07,299808.11
2020-01-08,299769.7
2020-01-09,300211.79
2020-01-10,300533.56
2020-01-13,300963.41
2020-01-14,301211.64
2020-01-15,301318.9
2020-01-16,301423.41
2020-01-17,301383.13
2020-01-20,300901.59
2020-01-21,300624.69
2020-01-22,299800.21
2020-01-23,300471.46
2020-01-24,301249.85
2020-01-27,300552.96
2020-01-28,299749.25
2020-01-29,300456.89
2020-01-30,299818.64
2020-01-31,299114.11
2020-02-03,297667.65
2020-02-04,298495.06
2020-02-05,299275.07
2020-02-06,300089.55
2020-02-07,300005.2
2020-02-10,299077.42
2020-02-11,299599.58
2020-02-12,299663.94
2020-02-13,299542.02
2020-02-14,298854.72
2020-02-17,298354.33
2020-02-18,297730.9
2020-02-19,298569.67
2020-02-20,298860.25
2020-02-24,297701.81
2020-02-25,297322.71
2020-02-26,296651.01
2020-02-27,296166.73
2020-02-28,293680.59
2020-03-02,293415.03
2020-03-03,294372.67
2020-03-04,293992.07
2020-03-05,294426.51
2020-03-06,292500.46
2020-03-09,290405.61
2020-03-11,288973.83
2020-03-12,283815.19
2020-03-13,285842.69
2020-03-16,284042.08
2020-03-17,281763.84
2020-03-18,279632.11
2020-03-19,277716.76
2020-03-20,279118.34
2020-03-23,274176.28
2020-03-24,276390.69
2020-03-25,277346.25
2020-03-26,278586.54
2020-03-27,279752.02
2020-03-30,278344.63
2020-03-31,279122.47
2020-04-01,278383.44
2020-04-03,277804.62
2020-04-07,279705.05
2020-04-08,279548.67
2020-04-09,281160.77
2020-04-13,280430.35
2020-04-15,281121.82
2020-04-16,281080.46
2020-04-17,282943.59
2020-04-20,283152.0
2020-04-21,281574.31
2020-04-22,282099.0
2020-04-23,282222.15
2020-04-24,281321.95
2020-04-27,282003.72
2020-04-28,282317.02
2020-04-29,282672.13
2020-04-30,284062.76
2020-05-04,281579.79
2020-05-05,281695.63
2020-05-06,281521.7
2020-05-07,280959.07
2020-05-08,281148.17
2020-05-11,281041.58
2020-05-12,281169.63
2020-05-13,282312.06
2020-05-14,281394.54
2020-05-15,280551.53
2020-05-18,279299.25
2020-05-19,279039.96
2020-05-20,279492.56
2020-05-21,279772.59
2020-05-22,279077.98
2020-05-26,279653.71
2020-05-27,280218.02
2020-05-28,281026.25
2020-05-29,281636.17
2020-06-01,283399.68
2020-06-02,283867.38
2020-06-03,284833.0
2020-06-04,284557.27
2020-06-05,285524.06
2020-06-08,286168.03
2020-06-09,285608.35
2020-06-10,286086.0
2020-06-11,285162.57
2020-06-12,284977.03
2020-06-15,284277.79
2020-06-16,284365.78
2020-06-17,284406.23
2020-06-18,285162.01
2020-06-19,280325.68
2020-06-22,286649.1
2020-06-23,287719.71
2020-06-24,287161.76
2020-06-25,286953.64
2020-06-26,287408.25
2020-06-29,286536.37
2020-06-30,286452.37
2020-07-01,287147.57
2020-07-02,287553.39
2020-07-03,281999.98
2020-07-06,288698.74
