date,equity
2020-01-01,300000.0
2020-01-02,300033.12
2020-01-03,299916.32
2020-01-06,299428.95
2020-01-07,299494.16
2020-01-08,299392.81
2020-01-09,300077.7
2020-01-10,300324.37
2020-01-13,300598.77
2020-01-14,300897.68
2020-01-15,300832.29
2020-01-16,300840.05
2020-01-17,300736.88
2020-01-20,300213.59
2020-01-21,299790.78
2020-01-22,298976.17
2020-01-23,299642.13
2020-01-24,300387.79
2020-01-27,299821.89
2020-01-28,299044.85
2020-01-29,299732.22
2020-01-30,299111.63
2020-01-31,298425.34
2020-02-03,296993.57
2020-02-04,297816.26
2020-02-05,298582.51
2020-02-06,299380.99
2020-02-07,299293.58
2020-02-10,298396.35
2020-02-11,298927.02
2020-02-12,298999.34
2020-02-13,298877.46
2020-02-14,298210.01
2020-02-17,297719.07
2020-02-18,297100.08
2020-02-19,297929.31
2020-02-20,298213.29
2020-02-24,297056.02
2020-02-25,296672.02
2020-02-26,295995.55
2020-02-27,295517.42
2020-02-28,293050.69
2020-03-02,292792.29
2020-03-03,293746.69
2020-03-04,293358.56
2020-03-05,293789.62
2020-03-06,291885.5
2020-03-09,289802.64
2020-03-11,288385.74
2020-03-12,283271.74
2020-03-13,285271.96
2020-03-16,283479.27
2020-03-17,281225.88
2020-03-18,279119.84
2020-03-19,277224.62
2020-03-20,278640.17
2020-03-23,273735.41
2020-03-24,275926.65
2020-03-25,276905.49
2020-03-26,278099.63
2020-03-27,279252.42
2020-03-30,277843.35
2020-03-31,278629.51
2020-04-01,277883.55
2020-04-03,277300.64
2020-04-07,279222.19
2020-04-08,279054.96
2020-04-09,280650.55
2020-04-13,279933.68
2020-04-15,280627.99
2020-04-16,280601.12
2020-04-17,282451.84
2020-04-20,282655.66
2020-04-21,281107.44
2020-04-22,281601.75
2020-04-23,281732.21
2020-04-24,280839.02
2020-04-27,281524.67
2020-04-28,281835.05
2020-04-29,282182.17
2020-04-30,283552.86
2020-05-04,281092.35
2020-05-05,281197.1
2020-05-06,281041.89
2020-05-07,280487.62
2020-05-08,280678.28
2020-05-11,280573.29
2020-05-12,280691.91
2020-05-13,281823.75
2020-05-14,280916.96
2020-05-15,280061.76
2020-05-18,278829.89
2020-05-19,278567.64
2020-05-20,278987.36
2020-05-21,279281.31
2020-05-22,278594.61
2020-05-26,279159.12
2020-05-27,279735.47
2020-05-28,280536.39
2020-05-29,281138.89
2020-06-01,282890.16
2020-06-02,283346.46
2020-06-03,284331.43
2020-06-04,284082.45
2020-06-05,285029.81
2020-06-08,285671.42
2020-06-09,285104.86
2020-06-10,285556.9
2020-06-11,284685.15
2020-06-12,284502.54
2020-06-15,283812.23
2020-06-16,283898.66
2020-06-17,283936.58
2020-06-18,284677.66
2020-06-19,279688.31
2020-06-22,286155.23
2020-06-23,287210.68
2020-06-24,286666.65
2020-06-25,286461.33
2020-06-26,286909.59
2020-06-29,286056.78
2020-06-30,285974.29
2020-07-01,286657.12
2020-07-02,287066.72
2020-07-03,281348.78
2020-07-06,288223.01
2020-07-07,288272.31
2020-07-08,288273.24
2020-07-09,288625.32
2020-07-10,288081.36
2020-07-13,288117.33
2020-07-14,287029.57
2020-07-15,287290.58
2020-07-16,287185.87
2020-07-17,287996.59
2020-07-20,288501.82
2020-07-21,289461.61
2020-07-22,289147.44
2020-07-23,289725.86
2020-07-24,289229.6
2020-07-27,288590.66
2020-07-28,289036.14
2020-07-29,289279.2
2020-07-30,288718.54
2020-07-31,288955.22
2020-08-03,288243.18
2020-08-04,288738.89
2020-08-05,288961.18
2020-08-06,289405.19
2020-08-07,289806.32
2020-08-10,290199.35
2020-08-11,290432.5
2020-08-12,290531.34
2020-08-13,290796.91
2020-08-14,290342.13
2020-08-17,290616.49
2020-08-18,291258.78
2020-08-19,291559.02
2020-08-20,291660.33
2020-08-21,292358.2
2020-08-24,292599.71
2020-08-25,292866.17
2020-08-26,293100.84
2020-08-27,293284.52
2020-08-28,293804.04
2020-08-31,292253.06
2020-09-01,292378.86
2020-09-02,292925.74
2020-09-03,293024.53
2020-09-04,291624.23
2020-09-07,291241.5
