strategy,entry_date,exit_date,entry_price,exit_price,direction,lot_size,gross_pnl,costs,net_pnl,pnl_pct,reason,regime,duration,option_type,strike,expiry,entry_prem,exit_prem,iv_entry,premium_collected,premium_at_exit,strike_ce,strike_pe,net_premium,cost_at_exit,max_loss,strike_long,strike_short,debit_paid,exit_value
F1 Trend Futures,2009-05-27,2009-05-28,4276.05,4337.1,LONG,25,1526.26,110.86,1415.4,1.32,Expiry Rollover,bull,1,,,,,,,,,,,,,,,,,
F1 Trend Futures,2009-05-28,2009-06-25,4337.1,4241.85,LONG,25,-2381.25,109.38,-2490.63,-2.3,Expiry Rollover,bull,28,,,,,,,,,,,,,,,,,
F1 Trend Futures,2009-06-25,2009-07-30,4241.85,4571.45,LONG,25,8240.0,114.49,8125.51,7.66,Expiry Rollover,bull,35,,,,,,,,,,,,,,,,,
F1 Trend Futures,2009-07-30,2009-08-27,4571.45,4688.2,LONG,25,2918.75,116.3,2802.45,2.45,Expiry Rollover,bull,28,,,,,,,,,,,,,,,,,
F1 Trend Futures,2009-08-27,2009-09-24,4688.2,4986.55,LONG,25,7458.74,120.93,7337.81,6.26,Expiry Rollover,bull,28,,,,,,,,,,,,,,,,,
F1 Trend Futures,2009-09-24,2009-10-29,4986.55,4750.55,LONG,25,-5900.0,117.27,-6017.27,-4.83,Expiry Rollover,bull,35,,,,,,,,,,,,,,,,,
F1 Trend Futures,2009-10-29,2009-11-26,4750.55,5005.55,LONG,25,6375.0,121.22,6253.78,5.27,Expiry Rollover,bull,28,,,,,,,,,,,,,,,,,
F1 Trend Futures,2009-11-26,2009-12-31,5005.55,5201.05,LONG,25,4887.5,124.25,4763.25,3.81,Expiry Rollover,bull,35,,,,,,,,,,,,,,,,,
F1 Trend Futures,2009-12-31,2010-01-28,5201.05,4867.25,LONG,25,-8345.0,119.08,-8464.07,-6.51,Expiry Rollover,bull,28,,,,,,,,,,,,,,,,,
F1 Trend Futures,2010-01-28,2010-02-25,4867.25,4859.75,LONG,25,-187.5,118.96,-306.46,-0.25,Expiry Rollover,bull,28,,,,,,,,,,,,,,,,,
F1 Trend Futures,2010-02-25,2010-03-25,4859.75,5260.4,LONG,25,10016.25,125.17,9891.07,8.14,Expiry Rollover,bull,28,,,,,,,,,,,,,,,,,
F1 Trend Futures,2010-03-25,2010-04-29,5260.4,5254.15,LONG,25,-156.25,125.08,-281.33,-0.21,Expiry Rollover,bull,35,,,,,,,,,,,,,,,,,
