Name,Ticker,Price,RSI Monthly,RSI Weekly,RSI Daily,Above EMA50,Above SMA200,ADX,GFS Signal
360 ONE WAM Ltd.,360ONE.NS,1040.6,43.2,38.4,36.2,False,False,30.0,⏳ NOT READY
Mazagoan Dock Shipbu,MAZDOCK.NS,2324.1,50.2,45.6,55.1,False,False,21.6,⏳ NOT READY
Max Healthcare Insti,MAXHEALTH.NS,964.8,48.2,36.3,14.9,False,False,62.0,⏳ NOT READY
Mankind Pharma Ltd.,MANKIND.NS,2000.0,31.7,37.6,26.0,False,False,31.2,⏳ NOT READY
Maharashtra Seamless,MAHSEAMLES.NS,564.8,39.4,51.6,51.4,True,False,23.5,⏳ NOT READY
Mahanagar Gas Ltd.,MGL.NS,967.1,49.1,39.2,4.9,False,False,44.3,⏳ NOT READY
MRF Ltd.,MRF.NS,127535.0,54.2,30.4,30.8,False,False,43.8,⏳ NOT READY
MMTC Ltd.,MMTC.NS,60.0,45.2,55.1,46.7,False,False,43.2,⏳ NOT READY
Lupin Ltd.,LUPIN.NS,2322.5,48.4,76.2,52.9,True,True,21.0,⏳ NOT READY
Lodha Developers Ltd,LODHA.NS,796.9,32.6,28.5,11.5,False,False,65.0,⏳ NOT READY
Metropolis Healthcar,METROPOLIS.NS,441.1,44.4,39.6,31.0,False,False,23.0,⏳ NOT READY
Lloyds Metals And En,LLOYDSME.NS,1245.8,50.1,47.7,51.3,True,False,15.7,⏳ NOT READY
Life Insurance Corpo,LICI.NS,776.8,47.6,36.7,27.6,False,False,47.1,⏳ NOT READY
Lemon Tree Hotels Lt,LEMONTREE.NS,105.7,34.9,15.4,33.0,False,False,44.0,⏳ NOT READY
Latent View Analytic,LATENTVIEW.NS,267.4,32.7,11.8,12.4,False,False,68.5,⏳ NOT READY
LT Foods Ltd.,LTFOODS.NS,378.5,48.6,49.4,43.9,False,False,28.2,⏳ NOT READY
LIC Housing Finance ,LICHSGFIN.NS,486.1,42.9,37.4,25.8,False,False,28.9,⏳ NOT READY
L&T Technology Servi,LTTS.NS,3229.1,34.1,20.3,37.2,False,False,38.2,⏳ NOT READY
Kirloskar Brothers L,KIRLOSBROS.NS,1561.4,38.3,43.5,47.9,False,False,21.6,⏳ NOT READY
Kfin Technologies Lt,KFINTECH.NS,914.5,35.4,31.8,41.7,False,False,22.4,⏳ NOT READY
Kec International Lt,KEC.NS,546.1,29.4,27.9,39.1,False,False,25.2,⏳ NOT READY
