strategy,instrument,cagr,total_return,max_dd,sharpe,calmar,win_rate,total_trades,avg_win,avg_loss,profit_factor,avg_duration,total_costs,expectancy,avg_rsi_entry,years,bull_wr,bull_pnl,bear_wr,bear_pnl,sideways_wr,sideways_pnl
GFS Basic,Choice International,12.31,21.63,6.21,3.01,1.98,85.7,7,4.19,-3.86,6.53,10.4,1715.0,3.04,41.3,1.7,85.7,3.04,0.0,0.0,0.0,0.0
GFS Basic,Kalyan Jewellers Ind,9.42,28.59,14.21,1.7,0.66,57.1,7,11.28,-5.22,2.34,10.6,2034.0,4.21,39.1,2.8,57.1,4.21,0.0,0.0,0.0,0.0
GFS Advanced,L&T Technology Servi,3.01,24.14,5.61,1.59,0.54,66.7,9,5.19,-2.3,4.09,9.9,2303.0,2.7,40.8,7.3,66.7,2.7,0.0,0.0,0.0,0.0
GFS Basic,Polycab India Ltd.,3.57,18.03,3.01,1.58,1.19,62.5,8,5.58,-3.04,2.9,10.9,1929.0,2.35,39.9,4.7,62.5,2.35,0.0,0.0,0.0,0.0
GFS Basic,UTI Asset Management,3.98,13.31,4.19,1.55,0.95,66.7,6,4.18,-1.54,5.32,10.8,1431.0,2.27,41.2,3.2,66.7,2.27,0.0,0.0,0.0,0.0
GFS Basic,Aster DM Healthcare ,5.42,36.29,12.35,1.34,0.44,56.2,16,6.86,-3.75,2.33,10.8,4099.0,2.22,41.7,5.9,56.2,2.22,0.0,0.0,0.0,0.0
GFS Basic,Gujarat Fluorochemic,6.02,27.82,9.49,1.26,0.63,66.7,6,10.35,-6.12,2.84,13.5,1627.0,4.86,40.5,4.2,60.0,5.66,100.0,0.87,0.0,0.0
GFS Basic,Max Healthcare Insti,3.81,13.45,8.67,1.24,0.44,83.3,6,4.72,-9.18,2.55,10.3,1366.0,2.41,39.2,3.4,83.3,2.41,0.0,0.0,0.0,0.0
GFS Basic,Prestige Estates Pro,4.72,83.61,10.32,1.24,0.46,63.6,22,7.22,-4.03,2.88,11.9,7008.0,3.13,39.2,13.2,61.9,2.75,100.0,11.03,0.0,0.0
GFS Advanced,Ajanta Pharmaceutica,3.06,82.42,12.45,1.21,0.25,71.4,21,5.94,-3.69,4.27,9.5,6269.0,3.19,41.2,20.0,71.4,3.19,0.0,0.0,0.0,0.0
GFS Basic,Central Depository S,3.82,27.63,12.07,1.21,0.32,60.0,15,5.3,-3.31,2.2,9.9,3874.0,1.86,40.2,6.5,60.0,1.86,0.0,0.0,0.0,0.0
GFS Basic,360 ONE WAM Ltd.,2.88,12.92,5.22,1.13,0.55,66.7,6,5.51,-4.14,2.55,9.5,1403.0,2.29,42.0,4.3,66.7,2.29,0.0,0.0,0.0,0.0
GFS Basic,Castrol India Ltd.,2.11,44.22,6.46,1.12,0.33,76.5,17,4.03,-3.05,3.78,8.4,4724.0,2.37,40.1,17.5,75.0,1.94,0.0,0.0,100.0,9.21
GFS Advanced,Power Finance Corpor,2.21,44.47,5.89,1.09,0.37,70.6,17,4.9,-3.61,3.04,8.1,4663.0,2.4,40.9,16.8,70.6,2.4,0.0,0.0,0.0,0.0
GFS Basic,Ajanta Pharmaceutica,3.58,101.93,17.46,1.05,0.21,59.0,39,6.24,-3.91,2.45,8.4,11524.0,2.07,40.6,20.0,57.9,1.98,100.0,5.71,0.0,0.0
GFS Advanced,Castrol India Ltd.,1.52,30.23,4.12,1.02,0.37,81.8,11,3.98,-3.38,4.53,10.2,2949.0,2.64,39.8,17.5,80.0,1.99,0.0,0.0,100.0,9.21
GFS Basic,L&T Technology Servi,2.03,15.74,7.99,1.01,0.25,54.5,11,5.19,-2.88,2.05,10.4,2652.0,1.52,40.5,7.3,54.5,1.52,0.0,0.0,0.0,0.0
GFS Basic,Metropolis Healthcar,1.91,9.33,3.72,1.01,0.51,80.0,5,3.19,-3.08,3.85,10.2,1212.0,1.94,40.5,4.7,80.0,1.94,0.0,0.0,0.0,0.0
GFS Advanced,Transformers And Rec,4.64,61.17,21.31,1.0,0.22,54.5,11,14.85,-6.31,2.64,9.5,3052.0,5.23,40.9,10.5,54.5,5.23,0.0,0.0,0.0,0.0
GFS Basic,Power Finance Corpor,2.77,58.4,15.72,0.93,0.18,68.0,25,5.4,-4.86,2.18,8.8,7062.0,2.11,41.1,16.8,68.0,2.11,0.0,0.0,0.0,0.0
GFS Basic,Caplin Point Laborat,2.86,30.87,15.53,0.86,0.18,53.3,15,8.08,-4.52,1.95,10.5,3628.0,2.2,39.9,9.5,53.3,2.2,0.0,0.0,0.0,0.0
GFS Basic,HDFC Asset Managemen,2.27,12.81,6.08,0.86,0.37,62.5,8,4.69,-3.12,2.37,7.6,1876.0,1.76,41.1,5.4,62.5,1.76,0.0,0.0,0.0,0.0
GFS Advanced,Mangalore Refinery &,3.12,84.8,5.63,0.84,0.55,70.0,10,12.28,-4.97,5.05,7.5,3261.0,7.11,40.2,20.0,66.7,6.9,0.0,0.0,100.0,8.95
GFS Advanced,National Aluminium C,1.95,47.14,10.11,0.84,0.19,66.7,12,8.32,-5.48,2.87,7.4,3108.0,3.72,40.9,20.0,66.7,3.72,0.0,0.0,0.0,0.0
GFS Advanced,Engineers India Ltd.,2.36,59.17,13.07,0.83,0.18,60.0,15,8.87,-4.14,2.6,9.7,5053.0,3.67,41.8,20.0,60.0,3.67,0.0,0.0,0.0,0.0
GFS Advanced,Persistent Systems L,2.18,34.44,4.03,0.82,0.54,50.0,12,9.18,-3.48,2.54,5.2,3021.0,2.85,40.6,13.7,50.0,2.85,0.0,0.0,0.0,0.0
GFS Advanced,Kalyan Jewellers Ind,2.81,8.04,12.46,0.81,0.23,40.0,5,11.7,-4.57,1.52,7.0,1282.0,1.93,39.6,2.8,40.0,1.93,0.0,0.0,0.0,0.0
GFS Basic,IRCON International ,2.53,14.16,11.47,0.8,0.22,54.5,11,7.28,-5.42,1.48,10.0,2647.0,1.51,40.2,5.3,54.5,1.51,0.0,0.0,0.0,0.0
GFS Basic,Newgen Software Tech,2.34,14.7,11.74,0.8,0.2,62.5,8,6.66,-5.63,1.86,12.1,1896.0,2.05,42.5,5.9,62.5,2.05,0.0,0.0,0.0,0.0
GFS Advanced,Indian Energy Exchan,1.86,12.12,6.83,0.79,0.27,50.0,6,8.07,-3.62,2.03,4.7,1467.0,2.23,40.6,6.2,50.0,2.23,0.0,0.0,0.0,0.0
GFS Basic,KPIT Technologies Lt,4.16,21.22,16.28,0.79,0.26,58.3,12,8.2,-6.49,1.5,10.3,3464.0,2.08,41.4,4.7,54.5,1.82,0.0,0.0,100.0,4.95
GFS Advanced,Oil India Ltd.,1.02,15.55,7.39,0.79,0.14,63.6,11,3.99,-2.95,2.34,11.9,2592.0,1.47,40.7,14.3,63.6,1.47,0.0,0.0,0.0,0.0
