strategy,instrument,entry_date,exit_date,entry_price,exit_price,shares,gross_pnl,costs,net_pnl,pnl_pct,reason,regime,duration,rsi_entry_d,rsi_exit_d,rsi_weekly,rsi_monthly
GFS Basic,360 ONE WAM Ltd.,2022-10-11,2022-10-13,424.81,410.82,223,-3118.4,222.61,-3341.02,-3.53,Stop (candle low),bull,2,42.8,42.4,79.4,66.4
GFS Basic,360 ONE WAM Ltd.,2023-08-04,2023-08-24,493.26,495.37,186,394.09,219.62,174.48,0.19,RSI Target 60,bull,20,42.7,62.2,87.3,74.8
GFS Basic,360 ONE WAM Ltd.,2023-09-04,2023-09-11,488.03,531.94,188,8255.69,227.77,8027.92,8.75,RSI Target 60,bull,7,42.2,65.6,77.3,70.5
GFS Basic,360 ONE WAM Ltd.,2023-10-09,2023-10-16,500.86,535.04,198,6767.35,242.72,6524.64,6.58,RSI Target 60,bull,7,42.9,67.1,64.9,67.5
GFS Basic,360 ONE WAM Ltd.,2024-01-25,2024-02-02,621.76,593.75,170,-4760.62,245.28,-5005.9,-4.74,Stop (candle low),bull,8,39.1,18.9,63.1,67.6
GFS Basic,360 ONE WAM Ltd.,2024-05-10,2024-05-23,754.96,805.97,133,6783.64,245.49,6538.15,6.51,RSI Target 60,bull,13,42.4,62.0,66.7,75.8
GFS Advanced,360 ONE WAM Ltd.,2022-10-11,2022-10-13,424.81,410.82,223,-3118.4,222.61,-3341.02,-3.53,Stop (candle low),bull,2,42.8,42.4,79.4,66.4
GFS Advanced,360 ONE WAM Ltd.,2023-08-04,2023-08-24,493.26,495.37,186,394.09,219.62,174.48,0.19,RSI Target 60,bull,20,42.7,62.2,87.3,74.8
GFS Advanced,360 ONE WAM Ltd.,2023-10-09,2023-10-16,500.86,535.04,183,6254.67,225.49,6029.18,6.58,RSI Target 60,bull,7,42.9,67.1,64.9,67.5
GFS Advanced,360 ONE WAM Ltd.,2024-01-25,2024-01-31,621.76,608.57,157,-2069.75,230.11,-2299.86,-2.36,Price < 50 EMA,bull,6,39.1,27.2,64.2,67.6
GFS Advanced,360 ONE WAM Ltd.,2024-05-10,2024-05-23,754.96,805.97,126,6426.6,233.38,6193.23,6.51,RSI Target 60,bull,13,42.4,62.0,66.7,75.8
GFS Basic,3M India Ltd.,2006-03-31,2006-04-24,1400.38,1515.7,67,7726.27,231.83,7494.43,7.99,RSI Target 60,bull,24,43.3,71.7,89.4,81.0
GFS Basic,3M India Ltd.,2006-04-28,2006-05-19,1360.51,1162.99,75,-14813.51,226.73,-15040.24,-14.74,Stop (candle low),bull,21,41.6,30.4,68.8,80.1
GFS Basic,3M India Ltd.,2006-12-13,2007-01-29,1462.56,1542.21,60,4778.75,215.29,4563.46,5.2,RSI Target 60,bull,47,35.2,77.3,67.6,74.9
GFS Basic,3M India Ltd.,2007-07-17,2007-07-30,1935.15,1683.16,47,-11843.51,205.17,-12048.68,-13.25,Stop (candle low),bull,13,39.6,24.9,61.1,69.0
GFS Basic,3M India Ltd.,2008-01-17,2008-01-18,2035.53,1905.36,39,-5076.76,186.48,-5263.24,-6.63,Stop (candle low),bull,1,42.6,31.8,57.0,68.6
GFS Basic,3M India Ltd.,2010-05-17,2010-05-19,2114.49,2309.51,35,6825.54,186.86,6638.68,8.97,RSI Target 60,bull,2,40.6,61.7,75.1,93.9
GFS Basic,3M India Ltd.,2010-08-19,2010-08-31,3253.13,3078.2,25,-4373.46,191.53,-4564.99,-5.61,Stop (candle low),bull,12,35.9,42.2,88.8,89.8
GFS Basic,3M India Ltd.,2011-06-29,2011-06-30,3741.1,3888.07,20,2939.24,184.65,2754.6,3.68,RSI Target 60,bull,1,44.9,69.5,77.6,73.3
GFS Basic,3M India Ltd.,2011-07-20,2011-07-22,3880.52,4187.43,20,6138.06,194.16,5943.9,7.66,RSI Target 60,bull,2,44.7,70.2,77.6,73.3
GFS Basic,3M India Ltd.,2011-09-13,2011-09-21,4136.13,4005.57,20,-2611.08,196.45,-2807.54,-3.39,Stop (candle low),bull,8,41.9,27.5,61.0,73.0
GFS Basic,3M India Ltd.,2014-10-07,2014-10-08,5874.23,5744.45,14,-1816.98,196.2,-2013.18,-2.45,Stop (candle low),bull,1,44.8,44.2,85.3,84.4
GFS Basic,3M India Ltd.,2014-10-28,2014-11-11,5762.69,5849.79,14,1219.31,195.88,1023.44,1.27,RSI Target 60,bull,14,38.8,69.3,74.5,92.4
GFS Basic,3M India Ltd.,2014-12-09,2014-12-12,6120.49,5809.91,13,-4037.61,187.96,-4225.57,-5.31,Stop (candle low),bull,3,43.8,44.0,55.3,92.5
GFS Basic,3M India Ltd.,2015-02-10,2015-02-18,6264.61,7251.65,12,11844.5,194.66,11649.84,15.5,RSI Target 60,bull,8,40.9,73.5,67.8,93.0
GFS Basic,3M India Ltd.,2015-04-28,2015-05-18,7482.21,7678.27,11,2156.63,200.46,1956.17,2.38,RSI Target 60,bull,20,39.6,65.4,61.4,94.9
GFS Basic,3M India Ltd.,2015-09-08,2015-09-28,10409.98,10158.67,8,-2010.51,198.31,-2208.82,-2.65,RSI Target 60,bull,20,44.6,62.3,69.3,98.5
GFS Basic,3M India Ltd.,2015-11-23,2015-11-27,10688.87,10703.21,8,114.72,205.47,-90.75,-0.11,Weekly RSI < 50,bull,4,43.4,45.0,46.0,98.4
GFS Basic,3M India Ltd.,2016-05-06,2016-05-19,12314.46,11751.39,7,-3941.5,202.8,-4144.31,-4.81,Stop (candle low),bull,13,41.9,25.3,79.1,80.3
GFS Basic,3M India Ltd.,2018-03-14,2018-03-16,18913.72,18562.96,4,-1403.07,182.0,-1585.07,-2.1,Stop (candle low),bull,2,38.3,29.0,70.5,83.6
GFS Basic,3M India Ltd.,2018-04-26,2018-05-15,19055.0,18735.16,4,-1279.37,183.38,-1462.76,-1.92,Stop (candle low),bull,19,43.0,41.0,65.5,81.1
GFS Basic,3M India Ltd.,2018-09-12,2018-09-19,23631.65,22706.93,3,-2774.16,170.0,-2944.17,-4.15,Stop (candle low),bull,7,41.6,34.4,85.3,83.4
GFS Basic,3M India Ltd.,2021-04-13,2021-05-05,24514.74,23181.23,3,-4000.52,174.62,-4175.14,-5.68,Stop (candle low),bull,22,44.0,41.9,65.6,57.9
GFS Basic,3M India Ltd.,2021-12-03,2021-12-14,24156.75,23006.85,3,-3449.71,172.8,-3622.51,-5.0,Stop (candle low),bull,11,40.3,37.1,54.5,63.1
