strategy,instrument,cagr,total_return,final_value,max_dd,sharpe,calmar,win_rate,total_trades,avg_win,avg_loss,profit_factor,avg_duration,total_costs,expectancy,avg_rsi_entry,years,bull_wr,bull_pnl,bear_wr,bear_pnl,sideways_wr,sideways_pnl
GFS Advanced,M&M,1.43,32.8,132799.0,3.25,1.11,0.44,85.7,7,5.63,-2.58,12.9,8.1,1841.0,4.46,40.9,20.0,85.7,4.46,0.0,0.0,0.0,0.0
GFS Advanced,Bajaj Finance,1.63,38.21,138209.0,4.55,0.95,0.36,87.5,8,5.88,-4.8,6.8,9.1,2269.0,4.54,41.2,20.0,87.5,4.54,0.0,0.0,0.0,0.0
GFS Advanced,Adani Ent.,1.01,22.12,122119.0,5.06,0.59,0.2,80.0,5,6.9,-5.38,4.4,8.2,1289.0,4.45,41.2,20.0,80.0,4.45,0.0,0.0,0.0,0.0
GFS Advanced,ITC,0.51,10.68,110680.0,3.93,0.57,0.13,57.1,7,4.15,-1.81,2.84,10.6,1701.0,1.6,40.6,20.0,57.1,1.6,0.0,0.0,0.0,0.0
GFS Advanced,HDFC Bank,0.39,8.16,108162.0,5.26,0.53,0.07,80.0,5,3.02,-3.51,3.43,12.2,1145.0,1.71,42.6,20.0,80.0,1.71,0.0,0.0,0.0,0.0
GFS Advanced,Hindalco,0.62,13.23,113229.0,5.41,0.5,0.12,57.1,7,6.72,-4.15,2.04,10.0,1664.0,2.06,39.8,20.0,57.1,2.06,0.0,0.0,0.0,0.0
GFS Advanced,Cipla,0.53,11.21,111206.0,4.9,0.48,0.11,60.0,5,5.36,-2.13,3.79,6.6,1150.0,2.36,40.8,20.0,60.0,2.36,0.0,0.0,0.0,0.0
GFS Advanced,Apollo Hosp.,0.36,7.45,107454.0,2.63,0.48,0.14,75.0,4,3.56,-2.62,3.9,3.2,916.0,2.01,40.8,20.0,75.0,2.02,0.0,0.0,0.0,0.0
GFS Advanced,IndusInd Bank,0.19,3.94,103935.0,1.5,0.48,0.13,60.0,5,2.12,-1.08,2.86,7.6,1155.0,0.84,40.7,20.0,60.0,0.84,0.0,0.0,0.0,0.0
GFS Advanced,Sun Pharma,0.67,14.35,114351.0,6.12,0.45,0.11,50.0,12,5.59,-3.01,1.75,6.6,2925.0,1.29,41.2,20.0,50.0,1.29,0.0,0.0,0.0,0.0
GFS Advanced,Kotak Bank,0.5,10.56,110559.0,9.82,0.41,0.05,50.0,10,5.25,-2.83,1.69,6.4,2493.0,1.21,39.1,20.0,44.4,0.78,0.0,0.0,100.0,5.1
GFS Advanced,BPCL,0.36,7.38,107384.0,6.19,0.36,0.06,42.9,7,6.03,-2.45,1.73,6.4,1673.0,1.19,40.8,20.0,42.9,1.19,0.0,0.0,0.0,0.0
GFS Advanced,Eicher Motors,0.41,8.58,108580.0,12.5,0.28,0.03,53.8,13,5.24,-4.36,1.34,6.5,2960.0,0.81,42.4,20.0,53.8,0.81,0.0,0.0,0.0,0.0
GFS Advanced,UPL,0.33,6.74,106735.0,6.6,0.27,0.05,50.0,4,7.35,-3.46,1.92,6.8,966.0,1.94,41.0,20.0,50.0,1.94,0.0,0.0,0.0,0.0
GFS Advanced,Infosys,0.17,3.43,103428.0,7.44,0.26,0.02,57.1,7,2.92,-2.59,1.45,7.0,1617.0,0.56,42.1,20.0,57.1,0.56,0.0,0.0,0.0,0.0
GFS Advanced,Divi's Lab,0.32,6.54,106539.0,9.68,0.24,0.03,50.0,10,4.47,-2.93,1.43,8.5,2405.0,0.77,40.0,20.0,50.0,0.77,0.0,0.0,0.0,0.0
GFS Advanced,Asian Paints,0.32,6.51,106514.0,6.71,0.21,0.05,44.4,9,5.38,-2.69,1.49,8.1,2076.0,0.9,42.0,20.0,44.4,0.9,0.0,0.0,0.0,0.0
GFS Advanced,Nestle,0.22,3.31,103310.0,10.21,0.2,0.02,50.0,10,4.64,-3.75,1.18,8.5,2327.0,0.45,41.0,15.1,50.0,0.45,0.0,0.0,0.0,0.0
GFS Advanced,Maruti,0.08,1.68,101683.0,3.63,0.19,0.02,50.0,4,2.82,-1.9,1.47,9.0,896.0,0.46,41.3,20.0,50.0,0.46,0.0,0.0,0.0,0.0
GFS Advanced,NTPC,0.09,1.8,101801.0,3.46,0.19,0.03,60.0,5,2.28,-2.38,1.39,4.2,1148.0,0.41,40.8,19.1,60.0,0.41,0.0,0.0,0.0,0.0
