strategy,entry_date,exit_date,entry_price,exit_price,shares,gross_pnl,costs,net_pnl,pnl_pct,reason,regime,duration,rsi_entry_d,rsi_exit_d,rsi_weekly,rsi_monthly,instrument
GFS Basic,2006-05-22,2006-05-24,104.36,92.31,910,-10964.68,215.0,-11179.68,-11.77,Price Stop (candle low),bull,2,40.0,36.6,73.3,94.5,RELIANCE
GFS Basic,2006-05-24,2006-06-06,96.48,90.18,874,-5507.37,197.01,-5704.38,-6.76,Price Stop (candle low),bull,13,36.6,25.9,74.3,88.7,RELIANCE
GFS Basic,2006-06-12,2006-06-28,92.53,99.58,853,6009.65,196.95,5812.69,7.36,RSI Target 70,bull,16,42.2,72.9,70.6,88.7,RELIANCE
GFS Basic,2006-07-20,2006-07-21,102.56,96.25,823,-5189.18,197.52,-5386.7,-6.38,Price Stop (candle low),bull,1,38.9,33.1,58.8,91.3,RELIANCE
GFS Basic,2006-11-24,2006-11-27,128.44,124.64,617,-2347.21,189.0,-2536.21,-3.2,Price Stop (candle low),bull,3,36.2,37.1,86.7,85.5,RELIANCE
GFS Basic,2006-11-27,2006-11-28,126.91,124.42,606,-1505.64,184.67,-1690.31,-2.2,Price Stop (candle low),bull,1,37.1,49.3,86.7,85.5,RELIANCE
GFS Basic,2006-11-29,2006-12-12,126.44,119.91,595,-3881.21,178.49,-4059.7,-5.4,Price Stop (candle low),bull,13,44.6,30.7,82.7,85.1,RELIANCE
GFS Basic,2006-12-13,2007-01-12,125.37,133.26,570,4493.29,178.79,4314.5,6.04,RSI Target 70,bull,30,42.2,73.6,82.5,87.0,RELIANCE
GFS Basic,2007-02-12,2007-02-13,140.09,135.89,539,-2263.18,180.78,-2443.97,-3.24,Price Stop (candle low),bull,1,41.1,47.0,73.3,87.6,RELIANCE
GFS Basic,2007-02-28,2007-03-05,140.92,125.28,519,-8114.62,169.45,-8284.06,-11.33,Price Stop (candle low),bull,5,38.4,31.3,58.7,86.1,RELIANCE
GFS Basic,2007-06-07,2007-06-08,176.65,166.34,370,-3814.88,156.63,-3971.51,-6.08,Price Stop (candle low),bull,1,44.7,27.1,78.6,88.4,RELIANCE
GFS Basic,2007-06-12,2007-06-22,180.88,171.17,340,-3300.52,148.57,-3449.09,-5.61,Trailing Stop 5%,bull,10,37.4,43.7,82.4,88.4,RELIANCE
GFS Basic,2007-06-22,2007-06-25,175.6,171.57,332,-1336.41,143.5,-1479.91,-2.54,Price Stop (candle low),bull,3,43.7,43.9,82.4,88.4,RELIANCE
GFS Basic,2007-06-25,2007-06-28,174.34,169.85,326,-1464.02,140.12,-1604.14,-2.82,Price Stop (candle low),bull,3,43.9,57.8,82.4,88.4,RELIANCE
GFS Basic,2007-07-09,2007-07-16,173.9,178.36,318,1417.95,139.69,1278.26,2.31,RSI Target 70,bull,7,43.8,72.7,83.6,81.7,RELIANCE
GFS Basic,2007-08-06,2007-08-16,184.75,174.58,306,-3114.5,137.74,-3252.24,-5.75,Price Stop (candle low),bull,10,44.1,31.1,68.7,87.9,RELIANCE
GFS Basic,2007-08-17,2007-09-05,180.07,197.22,297,5092.54,139.46,4953.09,9.26,RSI Target 70,bull,19,38.0,78.6,66.1,87.5,RELIANCE
GFS Basic,2007-12-17,2007-12-18,291.41,273.81,199,-3502.96,140.57,-3643.53,-6.28,Price Stop (candle low),bull,1,44.9,45.1,86.2,96.1,RELIANCE
GFS Basic,2007-12-19,2008-01-08,281.37,306.64,194,4902.75,141.71,4761.04,8.72,RSI Target 70,bull,20,41.9,76.8,74.8,96.0,RELIANCE
GFS Basic,2013-02-06,2013-02-08,185.57,180.71,319,-1551.16,145.28,-1696.44,-2.87,Price Stop (candle low),bull,2,44.5,24.9,59.5,60.2,RELIANCE
GFS Basic,2013-02-18,2013-02-26,179.6,172.33,321,-2334.84,141.03,-2475.87,-4.29,Price Stop (candle low),bull,8,35.2,32.4,64.8,60.2,RELIANCE
GFS Basic,2013-02-27,2013-02-28,177.99,170.31,310,-2380.84,135.48,-2516.32,-4.56,Price Stop (candle low),bull,1,36.4,34.6,64.8,61.4,RELIANCE
GFS Basic,2013-08-01,2013-08-06,186.5,178.13,283,-2369.31,130.17,-2499.48,-4.74,Price Stop (candle low),bull,5,35.5,24.5,59.4,68.0,RELIANCE
GFS Basic,2013-09-26,2013-09-27,185.48,177.88,272,-2066.69,125.31,-2191.99,-4.34,Price Stop (candle low),bull,1,41.6,40.1,56.6,63.2,RELIANCE
GFS Basic,2014-05-05,2014-05-12,200.85,217.87,241,4101.3,127.15,3974.15,8.21,RSI Target 70,bull,7,40.1,72.4,77.1,60.5,RELIANCE
GFS Basic,2014-06-12,2014-06-13,239.79,231.4,218,-1828.7,129.6,-1958.3,-3.75,Price Stop (candle low),bull,1,41.1,44.3,72.6,71.5,RELIANCE
GFS Basic,2014-06-13,2014-06-16,238.39,227.88,211,-2218.72,124.82,-2343.53,-4.66,Price Stop (candle low),bull,3,44.3,43.6,72.6,71.5,RELIANCE
GFS Basic,2014-06-16,2014-06-18,237.0,228.16,203,-1795.66,120.39,-1916.05,-3.98,Price Stop (candle low),bull,2,43.6,48.4,72.6,71.5,RELIANCE
GFS Basic,2014-06-19,2014-06-20,235.86,221.69,196,-2777.33,115.19,-2892.51,-6.26,Price Stop (candle low),bull,1,44.9,39.2,65.3,71.5,RELIANCE
GFS Basic,2014-06-20,2014-06-26,230.14,216.43,189,-2592.18,109.31,-2701.48,-6.21,Price Stop (candle low),bull,6,39.2,23.3,65.3,71.5,RELIANCE
GFS Basic,2014-07-04,2014-07-08,219.45,212.82,187,-1238.89,105.24,-1344.13,-3.28,Price Stop (candle low),bull,4,41.9,31.8,61.7,66.2,RELIANCE
GFS Basic,2014-07-09,2014-07-11,221.48,206.72,179,-2642.98,100.7,-2743.68,-6.92,Price Stop (candle low),bull,2,38.4,32.6,52.8,66.2,RELIANCE
GFS Basic,2017-03-29,2017-04-06,277.11,315.05,134,5084.09,103.12,4980.97,13.41,RSI Target 70,bull,8,39.4,73.1,79.7,67.1,RELIANCE
GFS Basic,2017-04-27,2017-04-28,315.71,305.57,132,-1338.25,106.56,-1444.81,-3.47,Price Stop (candle low),bull,1,43.8,47.4,86.7,67.1,RELIANCE
GFS Basic,2017-05-05,2017-05-08,302.45,289.41,134,-1748.55,103.59,-1852.14,-4.57,Price Stop (candle low),bull,3,41.6,32.2,76.6,75.1,RELIANCE
GFS Basic,2017-05-09,2017-05-23,293.66,285.93,132,-1020.24,100.42,-1120.66,-2.89,Price Stop (candle low),bull,14,39.3,31.6,73.6,75.1,RELIANCE
GFS Basic,2017-05-25,2017-06-21,288.01,311.44,130,3046.09,101.69,2944.39,7.86,RSI Target 70,bull,27,41.2,74.5,61.8,67.6,RELIANCE
GFS Basic,2017-08-11,2017-08-14,355.03,347.26,114,-886.04,104.36,-990.39,-2.45,Price Stop (candle low),bull,3,35.9,44.4,69.7,82.2,RELIANCE
GFS Basic,2017-08-14,2017-08-29,349.14,338.23,113,-1233.06,101.73,-1334.79,-3.38,Price Stop (candle low),bull,15,44.4,29.0,73.1,82.2,RELIANCE
