window,strategy,strat_ret,strat_cagr,strat_dd,nifty_ret,nifty_cagr,nifty_dd,alpha_pp,bees_ret
Recent mixed,RSI BID off,10.9,5.49,-67.51,-2.75,-1.43,-15.77,13.65,-0.37
Recent mixed,DMA BID off,10.27,5.18,-67.66,-2.75,-1.43,-15.77,13.02,-0.37
Recent mixed,RSI new_first,9.96,5.03,-59.65,-2.75,-1.43,-15.77,12.71,-0.37
Recent mixed,DMA compete,7.25,3.68,-60.2,-2.75,-1.43,-15.77,10.0,-0.37
Recent mixed,Best (rsi/off/g=0.07/p=50),11.86,5.96,-67.08,-2.75,-1.43,-15.77,14.61,-0.37
Post-COVID bull,RSI BID off,17.99,9.94,-3.1,108.44,52.27,-10.51,-90.45,108.33
Post-COVID bull,DMA BID off,18.26,10.08,-3.07,108.44,52.27,-10.51,-90.18,108.33
Post-COVID bull,RSI compete,55.91,28.95,-5.17,108.44,52.27,-10.51,-52.53,108.33
Post-COVID bull,DMA compete,56.07,29.02,-4.86,108.44,52.27,-10.51,-52.37,108.33
Post-COVID bull,Best (rsi/compete/g=0.0638/p=30),106.52,51.46,-7.38,108.44,52.27,-10.51,-1.92,108.33
India rally,RSI BID off,30.76,17.54,-28.39,38.68,21.78,-7.06,-7.92,41.01
India rally,DMA BID off,31.18,17.77,-28.45,38.68,21.78,-7.06,-7.5,41.01
India rally,RSI bid_first,44.4,24.79,-26.28,38.68,21.78,-7.06,5.72,41.01
India rally,DMA compete,42.52,23.81,-28.57,38.68,21.78,-7.06,3.84,41.01
India rally,Best (dma/off/g=0.0638/p=30),54.39,29.92,-40.46,38.68,21.78,-7.06,15.71,41.01
Full history (earlier BT),RSI BID off,65.34,7.91,-69.0,101.79,11.21,-38.44,-36.45,116.66
Full history (earlier BT),DMA BID off,64.35,7.81,-67.25,101.79,11.21,-38.44,-37.44,116.66
