date,code,qty,avg,fill,sell_value,charges,growth,pnl_pct,ticket_after
2020-01-16,NSE:MIDSELIETF,933,6.43,6.8491,6390.21,21.96,369.06,0.0652,6007.38
2020-02-11,NSE:MON100,95,62.817,67.0729,6371.93,21.94,382.37,0.0678,6015.03
2020-06-03,NSE:MON100,89,67.138,71.4625,6360.16,21.93,362.95,0.0644,6022.29
2020-07-06,NSE:MON100,83,71.803,76.7022,6366.28,21.94,384.69,0.0682,6029.98
2020-08-07,NSE:MON100,77,77.514,82.6203,6361.76,21.93,371.26,0.0659,6037.41
2020-08-27,NSE:MON100,73,82.098,87.4055,6380.6,21.95,365.5,0.0646,6044.72
2020-09-18,NSE:LOWVOLIETF,654,9.169,9.7432,6372.05,21.94,353.59,0.0626,6051.79
2020-10-08,NSE:NV20IETF,1054,5.689,6.0479,6374.49,21.94,356.34,0.0631,6058.92
2020-11-06,NSE:LOWVOLIETF,633,9.555,10.2218,6470.4,22.04,400.04,0.0698,6066.92
2020-11-13,NSE:CONSUMBEES,112,53.15,56.5434,6332.86,21.9,358.16,0.0638,6074.08
2020-11-17,NSE:HDFCSENSEX,137,43.5644,46.7389,6403.23,21.97,412.94,0.0729,6082.34
2020-11-18,NSE:MOM100,327,18.31,19.5304,6386.44,21.96,377.11,0.0667,6089.88
2020-11-23,NSE:ALPL30IETF,505,11.95,12.8352,6481.78,22.06,424.97,0.0741,6098.38
2020-11-24,NSE:NIFTYBEES,46,129.78,139.2406,6405.07,21.98,413.21,0.0729,6106.64
2020-11-25,NSE:NV20IETF,995,6.089,6.4805,6448.1,22.02,367.52,0.0643,6113.99
2020-11-27,NSE:MIDSELIETF,873,6.876,7.3596,6424.93,22.0,400.18,0.0703,6122.0
2020-12-02,NSE:MOM100,309,19.66,20.9191,6464.0,22.04,367.02,0.064,6129.34
2020-12-09,NSE:LOWVOLIETF,589,10.292,10.987,6471.34,22.04,387.32,0.0675,6137.08
2020-12-10,NSE:CONSUMBEES,103,58.73,62.4275,6430.03,22.0,358.84,0.063,6144.26
2020-12-11,NSE:NV20IETF,941,6.496,6.9221,6513.7,22.09,378.87,0.0656,6151.84
2020-12-16,NSE:MON100,70,86.031,91.5623,6409.36,21.98,365.21,0.0643,6159.14
2020-12-17,NSE:NIFTYBEES,44,137.39,146.4134,6442.19,22.01,375.02,0.0657,6166.64
2020-12-23,NSE:HDFCSENSEX,129,46.85,49.98,6447.42,22.02,381.75,0.0668,6174.28
2020-12-28,NSE:ALPL30IETF,472,12.917,13.7782,6503.31,22.08,384.41,0.0667,6181.97
2021-01-04,NSE:MOM100,293,20.85,22.4575,6580.05,22.16,448.84,0.0771,6190.94
2021-01-05,NSE:MIDSELIETF,822,7.446,8.1558,6704.07,22.29,561.17,0.0953,6202.17
2021-01-08,NSE:NV20IETF,881,6.976,7.4366,6551.64,22.13,383.66,0.066,6209.84
2021-01-11,NSE:LOWVOLIETF,556,11.037,11.9101,6622.02,22.2,463.24,0.0791,6219.1
2021-01-19,NSE:CONSUMBEES,96,63.48,67.5724,6486.95,22.06,370.81,0.0645,6226.52
2021-01-20,NSE:NIFTYBEES,41,146.96,156.5933,6420.33,21.99,372.98,0.0656,6233.98
2021-01-25,NSE:HDFCSENSEX,123,50.0379,56.0784,6897.64,22.49,720.49,0.1207,6248.39
2021-02-03,NSE:BANKBEES,18,325.16,348.1615,6266.91,21.83,392.2,0.0707,6256.23
2021-02-04,NSE:PVTBANIETF,343,17.449,18.8022,6449.15,22.02,442.13,0.0776,6265.08
2021-02-05,NSE:MON100,67,91.875,97.7372,6548.39,22.12,370.65,0.0638,6272.49
2021-02-08,NSE:HDFCSENSEX,123,50.725,54.3122,6680.4,22.26,418.97,0.0707,6280.87
2021-02-11,NSE:MIDSELIETF,756,8.194,8.7153,6588.77,22.17,371.93,0.0636,6288.31
2021-02-12,NSE:MOM100,275,22.49,23.8961,6571.43,22.15,364.53,0.0625,6295.6
2021-02-17,NSE:ICICIB22,173,34.67,37.0329,6406.69,21.98,386.8,0.0682,6303.33
2021-03-03,NSE:MOM100,261,24.07,25.8341,6742.7,22.33,438.1,0.0733,6312.1
2021-03-08,NSE:CPSEETF,261,22.96,24.4056,6369.86,21.94,355.36,0.063,6319.2
2021-04-08,NSE:ALPL30IETF,450,13.737,14.6553,6594.89,22.17,391.06,0.0668,6327.02
2021-04-09,NSE:NV20IETF,818,7.587,8.1379,6656.8,22.24,428.4,0.0726,6335.59
2021-05-12,NSE:CPSEETF,263,23.97,25.4745,6699.79,22.28,373.4,0.0628,6343.06
2021-05-31,NSE:NIFTYBEES,39,156.02,166.6232,6498.3,22.07,391.45,0.068,6350.89
2021-06-03,NSE:LOWVOLIETF,521,11.93,12.7363,6635.61,22.21,397.87,0.0676,6358.85
2021-06-04,NSE:MOM100,243,25.97,27.6723,6724.37,22.31,391.35,0.0655,6366.67
