date,code,qty,avg,fill,sell_value,charges,growth,pnl_pct,ticket_after
2020-01-16,NSE:MIDSELIETF,933,6.43,6.8491,6390.21,21.96,369.06,0.0652,6007.38
2020-01-24,NSE:HNGSNGBEES,16,359.27,390.3592,6245.75,21.81,475.62,0.0865,6016.89
2020-05-20,NSE:MON100,91,65.382,69.958,6366.18,21.94,394.48,0.07,6024.78
2020-06-10,NSE:MON100,86,69.84,74.3706,6395.87,21.97,367.66,0.0649,6032.14
2020-07-10,NSE:MON100,81,73.969,79.1128,6408.14,21.98,394.67,0.0695,6040.03
2020-08-26,NSE:MON100,75,80.398,86.2277,6467.08,22.04,415.19,0.0725,6048.33
2020-08-27,NSE:CONSUMBEES,115,52.12,55.944,6433.56,22.01,417.75,0.0734,6056.69
2020-10-12,NSE:NV20IETF,1041,5.76,6.1299,6381.23,21.95,363.12,0.0642,6063.95
2020-10-13,NSE:LOWVOLIETF,637,9.414,10.033,6391.02,21.96,372.34,0.0658,6071.4
2020-11-12,NSE:HDFCSENSEX,139,43.1,45.8341,6370.94,21.94,358.1,0.0634,6078.56
2020-11-18,NSE:NIFTYBEES,46,129.42,137.7621,6337.06,21.91,361.83,0.0645,6085.8
2020-11-23,NSE:ALPL30IETF,506,11.95,12.8352,6494.61,22.07,425.84,0.0741,6094.31
2020-11-24,NSE:LOWVOLIETF,610,9.938,10.6393,6489.97,22.06,405.73,0.0706,6102.43
2020-11-27,NSE:MIDSELIETF,873,6.876,7.3596,6424.93,22.0,400.18,0.0703,6110.43
2020-12-01,NSE:MOM100,314,19.08,20.8691,6552.9,22.13,539.65,0.0938,6121.22
2020-12-02,NSE:NV20IETF,982,6.169,6.6244,6505.16,22.08,425.12,0.0738,6129.73
2020-12-04,NSE:CONSUMBEES,109,55.55,59.8001,6518.21,22.09,441.17,0.0765,6138.55
2020-12-08,NSE:HDFCSENSEX,133,45.6446,48.767,6486.01,22.06,393.22,0.0684,6146.41
2020-12-15,NSE:CONSUMBEES,101,60.38,66.3036,6696.66,22.28,576.0,0.0981,6157.93
2020-12-16,NSE:NIFTYBEES,44,136.25,145.6742,6409.66,21.98,392.68,0.0692,6165.79
2020-12-18,NSE:LOWVOLIETF,578,10.551,11.2647,6511.0,22.09,390.43,0.0676,6173.6
2020-12-24,NSE:NV20IETF,922,6.644,7.0759,6523.98,22.1,376.11,0.065,6181.12
2020-12-28,NSE:ALPL30IETF,471,12.917,13.7782,6489.53,22.06,383.57,0.0667,6188.79
2020-12-29,NSE:MON100,69,87.493,93.3306,6439.81,22.01,380.78,0.0667,6196.41
2021-01-04,NSE:MOM100,292,20.94,22.4575,6557.59,22.13,420.98,0.0725,6204.83
2021-01-05,NSE:MIDSELIETF,820,7.446,8.1558,6687.76,22.27,559.77,0.0953,6216.02
2021-01-08,NSE:LOWVOLIETF,564,10.941,11.7383,6620.4,22.2,427.48,0.0729,6224.57
2021-01-11,NSE:HDFCSENSEX,125,49.0,52.1397,6517.46,22.09,370.37,0.0641,6231.98
2021-01-12,NSE:NV20IETF,864,7.148,7.5934,6560.7,22.14,362.69,0.0623,6239.23
2021-01-19,NSE:CONSUMBEES,97,63.43,67.5724,6554.52,22.13,379.68,0.0653,6246.83
2021-01-20,NSE:NIFTYBEES,42,146.56,156.5933,6576.92,22.15,399.25,0.0685,6254.81
2021-01-25,NSE:HDFCSENSEX,119,52.2075,56.0784,6673.33,22.25,438.39,0.0741,6263.58
2021-02-03,NSE:PVTBANIETF,344,17.398,18.5774,6390.63,21.96,383.75,0.0678,6271.25
2021-02-04,NSE:BANKBEES,18,331.93,353.8558,6369.4,21.94,372.72,0.0661,6278.71
2021-02-08,NSE:HDFCSENSEX,123,50.725,54.3122,6680.4,22.26,418.97,0.0707,6287.09
2021-02-10,NSE:MON100,66,92.78,98.7192,6515.47,22.09,369.9,0.064,6294.48
