strategy,instrument,cagr,total_return,final_value,max_dd,sharpe,calmar,win_rate,total_trades,avg_win,avg_loss,profit_factor,avg_duration,expectancy,years,gross_cagr,cagr_drag,total_costs,total_stt,total_dp,total_stamp,total_txn,total_gst,avg_cost_pct,bull_trades,bull_wr,bull_avg_pnl,bear_trades,bear_wr,bear_avg_pnl,sideways_trades,sideways_wr,sideways_avg_pnl
BB Squeeze Breakout,Bajaj Finserv,17.77,3239.9,3339905.0,34.83,1.01,0.51,48.4,124,11.73,-4.35,1.78,18.0,3.43,21.4,18.34,0.57,365352.0,327368.0,1902.0,24282.0,9723.0,1750.0,0.23,83,47.0,3.12,20,50.0,3.81,21,52.4,4.31
BB Squeeze Breakout,Adani Ent.,19.65,4589.2,4689198.0,37.75,0.84,0.52,42.2,147,14.42,-4.86,1.46,12.0,3.27,21.5,20.43,0.78,701396.0,629621.0,2255.0,46825.0,18700.0,3366.0,0.228,88,43.2,3.41,27,29.6,0.53,32,50.0,5.2
BB Squeeze Breakout,Bajaj Finance,12.05,1046.75,1146754.0,41.0,0.71,0.29,45.2,124,11.07,-4.61,1.74,18.0,2.47,21.4,12.62,0.57,132461.0,117589.0,1902.0,8731.0,3492.0,629.0,0.232,88,43.2,2.6,16,37.5,0.37,20,60.0,3.57
BB Squeeze Breakout,SBI,10.73,790.87,890872.0,32.52,0.7,0.33,47.0,100,10.33,-4.13,1.69,21.0,2.66,21.4,11.35,0.62,113259.0,100620.0,1534.0,7479.0,2988.0,538.0,0.23,62,46.8,1.67,18,27.8,0.08,20,65.0,8.08
BB Squeeze Breakout,Grasim,8.55,481.1,581098.0,25.35,0.63,0.34,46.2,104,8.89,-3.76,1.49,23.0,2.08,21.4,9.38,0.83,103008.0,91316.0,1595.0,6805.0,2712.0,488.0,0.229,71,40.8,1.18,15,40.0,3.64,18,72.2,4.33
BB Squeeze Breakout,UltraCemco,7.95,415.93,515932.0,23.52,0.61,0.34,45.2,104,9.04,-3.89,1.58,22.0,1.95,21.4,8.66,0.71,77524.0,68373.0,1595.0,5091.0,2031.0,366.0,0.23,76,39.5,1.85,13,30.8,-0.82,15,86.7,4.9
52-Week High Breakout,Britannia,6.21,263.79,363788.0,28.5,0.59,0.22,54.5,33,12.38,-4.26,3.58,44.0,4.82,21.5,6.39,0.19,14010.0,12173.0,506.0,892.0,362.0,65.0,0.238,32,53.1,4.96,0,0.0,0.0,1,100.0,0.09
ADX Breakout,Titan,4.71,168.4,268396.0,34.3,0.57,0.14,45.1,51,8.72,-2.88,2.61,18.0,2.35,21.5,5.0,0.29,16575.0,14227.0,782.0,1053.0,423.0,76.0,0.237,49,44.9,2.36,0,0.0,0.0,2,50.0,2.17
BB Squeeze Breakout,Shree Cement,8.36,459.2,559197.0,47.23,0.56,0.18,38.8,121,11.03,-3.99,1.31,19.0,1.85,21.4,9.44,1.08,132402.0,117538.0,1856.0,8771.0,3491.0,628.0,0.229,85,40.0,2.47,15,20.0,-2.09,21,47.6,2.13
BB Squeeze Breakout,Eicher Motors,8.43,467.56,567556.0,43.74,0.53,0.19,37.8,135,12.0,-4.49,1.38,15.0,1.74,21.4,9.29,0.85,104092.0,91863.0,2071.0,6847.0,2728.0,491.0,0.231,91,37.4,1.43,23,30.4,1.81,21,47.6,3.02
