rank,bid_mode,bid_threshold,max_bid,gate,parts,final_equity,total_return_pct,cagr_pct,max_drawdown_pct,buys,new_buys,bid_buys,sells,total_growth,final_ticket,open_positions,avg_sell_pnl_pct,sweep
rsi,off,0.04,3,0.0471,50,392025.59,30.68,17.5,-26.43,276,276,0,241,99240.98,7984.82,35,6.49,A_gate_bidmode
rsi,compete,0.04,3,0.0471,50,428918.87,42.97,24.04,-26.19,352,275,77,243,134956.96,8699.14,32,6.63,A_gate_bidmode
rsi,new_first,0.04,3,0.0471,50,417880.35,39.29,22.11,-28.76,348,290,58,255,131713.82,8634.28,35,6.6,A_gate_bidmode
rsi,bid_first,0.04,3,0.0471,50,420740.54,40.25,22.61,-22.52,350,274,76,242,134501.23,8690.02,32,6.66,A_gate_bidmode
dma,off,0.04,3,0.0471,50,392187.65,30.73,17.53,-26.5,275,275,0,241,98843.39,7976.87,34,6.47,A_gate_bidmode
dma,compete,0.04,3,0.0471,50,417679.69,39.23,22.07,-24.62,354,279,75,246,131249.34,8624.99,33,6.48,A_gate_bidmode
dma,new_first,0.04,3,0.0471,50,423465.49,41.16,23.09,-28.65,355,291,64,256,136559.48,8731.19,35,6.69,A_gate_bidmode
dma,bid_first,0.04,3,0.0471,50,421036.98,40.35,22.66,-30.81,358,284,74,249,133510.1,8670.2,35,6.5,A_gate_bidmode
rsi,off,0.04,3,0.05,50,392207.46,30.74,17.53,-26.22,259,259,0,225,97669.2,7953.38,34,6.84,A_gate_bidmode
rsi,compete,0.04,3,0.05,50,427524.32,42.51,23.8,-24.03,344,272,72,238,134118.93,8682.38,34,6.82,A_gate_bidmode
rsi,new_first,0.04,3,0.05,50,421774.69,40.59,22.79,-28.88,339,279,60,244,135925.42,8718.51,35,7.01,A_gate_bidmode
rsi,bid_first,0.04,3,0.05,50,423514.07,41.17,23.1,-22.51,346,273,73,239,135393.38,8707.87,34,6.8,A_gate_bidmode
dma,off,0.04,3,0.05,50,393739.76,31.25,17.81,-26.44,268,268,0,233,99832.58,7996.65,35,6.74,A_gate_bidmode
dma,compete,0.04,3,0.05,50,420840.73,40.28,22.63,-28.66,351,277,74,242,133950.89,8679.02,35,6.68,A_gate_bidmode
dma,new_first,0.04,3,0.05,50,421189.58,40.4,22.69,-26.78,342,280,62,246,135261.76,8705.24,34,6.92,A_gate_bidmode
dma,bid_first,0.04,3,0.05,50,432171.77,44.06,24.61,-30.35,348,274,74,240,137126.64,8742.53,34,6.87,A_gate_bidmode
rsi,off,0.04,3,0.0628,50,392970.9,30.99,17.67,-26.29,233,233,0,198,98188.29,7963.77,35,7.79,A_gate_bidmode
rsi,compete,0.04,3,0.0628,50,434278.76,44.76,24.98,-28.21,320,252,68,216,139729.45,8794.59,36,7.76,A_gate_bidmode
rsi,new_first,0.04,3,0.0628,50,434336.54,44.78,24.99,-28.19,320,253,67,218,139312.83,8786.26,35,7.69,A_gate_bidmode
rsi,bid_first,0.04,3,0.0628,50,427326.03,42.44,23.77,-26.56,314,246,68,212,139285.97,8785.72,34,7.84,A_gate_bidmode
dma,off,0.04,3,0.0628,50,394402.26,31.47,17.93,-28.4,237,237,0,202,99761.76,7995.24,35,7.75,A_gate_bidmode
dma,compete,0.04,3,0.0628,50,433094.95,44.36,24.77,-30.73,330,258,72,223,144962.31,8899.25,35,7.64,A_gate_bidmode
dma,new_first,0.04,3,0.0628,50,422610.84,40.87,22.94,-28.93,315,256,59,221,136190.37,8723.81,35,7.68,A_gate_bidmode
dma,bid_first,0.04,3,0.0628,50,427696.17,42.57,23.83,-26.62,327,253,74,221,140768.22,8815.36,32,7.6,A_gate_bidmode
rsi,off,0.04,3,0.0638,50,392276.18,30.76,17.54,-28.39,233,233,0,198,97359.0,7947.18,35,7.73,A_gate_bidmode
rsi,compete,0.04,3,0.0638,50,427320.99,42.44,23.77,-26.84,319,250,69,216,141335.25,8826.7,34,7.82,A_gate_bidmode
rsi,new_first,0.04,3,0.0638,50,422744.19,40.91,22.96,-26.73,315,251,64,215,137175.6,8743.51,36,7.74,A_gate_bidmode
rsi,bid_first,0.04,3,0.0638,50,433212.31,44.4,24.79,-26.28,314,245,69,212,139643.39,8792.87,33,7.88,A_gate_bidmode
dma,off,0.04,3,0.0638,50,393553.75,31.18,17.77,-28.45,235,235,0,199,98662.58,7973.25,36,7.79,A_gate_bidmode
dma,compete,0.04,3,0.0638,50,427563.45,42.52,23.81,-28.57,320,250,70,217,140603.22,8812.06,33,7.79,A_gate_bidmode
dma,new_first,0.04,3,0.0638,50,425562.48,41.85,23.46,-28.72,320,257,63,221,139427.01,8788.54,36,7.78,A_gate_bidmode
dma,bid_first,0.04,3,0.0638,50,428005.39,42.67,23.88,-26.59,325,251,74,218,141875.68,8837.51,33,7.7,A_gate_bidmode
rsi,off,0.04,3,0.07,50,394082.5,31.36,17.87,-28.29,223,223,0,187,99455.42,7989.11,36,8.33,A_gate_bidmode
rsi,compete,0.04,3,0.07,50,426006.84,42.0,23.54,-26.67,300,234,66,202,140161.05,8803.22,32,8.31,A_gate_bidmode
rsi,new_first,0.04,3,0.07,50,439686.29,46.56,25.91,-30.4,308,240,68,205,145866.33,8917.33,35,8.38,A_gate_bidmode
rsi,bid_first,0.04,3,0.07,50,427004.0,42.33,23.71,-22.51,304,235,69,202,143115.58,8862.31,33,8.36,A_gate_bidmode
dma,off,0.04,3,0.07,50,394665.56,31.56,17.97,-28.26,224,224,0,189,100248.59,8004.97,35,8.31,A_gate_bidmode
