rank,bid_mode,bid_threshold,max_bid,gate,parts,final_equity,total_return_pct,cagr_pct,max_drawdown_pct,buys,new_buys,bid_buys,sells,total_growth,final_ticket,open_positions,avg_sell_pnl_pct,sweep
rsi,off,0.04,3,0.0471,50,351221.28,17.07,9.44,-3.02,182,182,0,163,60025.66,7200.51,19,6.04,A_gate_bidmode
rsi,compete,0.04,3,0.0471,50,470303.79,56.77,29.36,-6.13,303,207,96,188,187749.18,9754.98,19,7.99,A_gate_bidmode
rsi,new_first,0.04,3,0.0471,50,462462.53,54.15,28.12,-5.26,295,207,88,188,179793.03,9595.86,19,8.76,A_gate_bidmode
rsi,bid_first,0.04,3,0.0471,50,465916.88,55.31,28.66,-5.33,298,202,96,183,183177.12,9663.54,19,8.0,A_gate_bidmode
dma,off,0.04,3,0.0471,50,352931.14,17.64,9.75,-3.01,188,188,0,169,61563.11,7231.26,19,5.97,A_gate_bidmode
dma,compete,0.04,3,0.0471,50,462583.6,54.19,28.14,-6.51,295,205,90,186,179685.08,9593.7,19,7.96,A_gate_bidmode
dma,new_first,0.04,3,0.0471,50,456552.69,52.18,27.18,-5.4,288,205,83,186,175034.37,9500.69,19,8.02,A_gate_bidmode
dma,bid_first,0.04,3,0.0471,50,459913.76,53.3,27.71,-6.53,293,203,90,184,178504.57,9570.09,19,7.99,A_gate_bidmode
rsi,off,0.04,3,0.05,50,353123.97,17.71,9.78,-3.06,175,175,0,156,61431.02,7228.62,19,6.43,A_gate_bidmode
rsi,compete,0.04,3,0.05,50,464769.49,54.92,28.48,-6.42,288,197,91,178,181592.05,9631.84,19,8.25,A_gate_bidmode
rsi,new_first,0.04,3,0.05,50,461409.51,53.8,27.95,-5.7,286,200,86,181,180217.03,9604.34,19,8.31,A_gate_bidmode
rsi,bid_first,0.04,3,0.05,50,468270.17,56.09,29.03,-6.28,288,197,91,178,184847.27,9696.95,19,8.36,A_gate_bidmode
dma,off,0.04,3,0.05,50,353294.48,17.76,9.81,-3.18,177,177,0,158,61979.97,7239.6,19,6.41,A_gate_bidmode
dma,compete,0.04,3,0.05,50,464577.93,54.86,28.45,-6.38,283,199,84,180,179000.31,9580.01,19,8.27,A_gate_bidmode
dma,new_first,0.04,3,0.05,50,456857.49,52.29,27.22,-5.77,282,199,83,180,176878.8,9537.58,19,8.31,A_gate_bidmode
dma,bid_first,0.04,3,0.05,50,463107.18,54.37,28.22,-6.49,285,197,88,178,178958.92,9579.18,19,8.31,A_gate_bidmode
rsi,off,0.04,3,0.0628,50,353402.25,17.8,9.83,-3.04,151,151,0,132,60660.82,7213.22,19,7.48,A_gate_bidmode
rsi,compete,0.04,3,0.0628,50,464805.73,54.94,28.49,-5.32,255,169,86,150,180563.75,9611.27,19,9.7,A_gate_bidmode
rsi,new_first,0.04,3,0.0628,50,461359.0,53.79,27.94,-6.62,256,174,82,155,178898.9,9577.98,19,9.58,A_gate_bidmode
rsi,bid_first,0.04,3,0.0628,50,468636.53,56.21,29.09,-5.22,264,173,91,154,184297.21,9685.94,19,9.53,A_gate_bidmode
dma,off,0.04,3,0.0628,50,355960.56,18.65,10.29,-3.01,154,154,0,135,63755.78,7275.12,19,7.65,A_gate_bidmode
dma,compete,0.04,3,0.0628,50,470833.13,56.94,29.44,-6.25,260,175,85,156,187610.48,9752.21,19,9.76,A_gate_bidmode
dma,new_first,0.04,3,0.0628,50,466113.74,55.37,28.69,-6.16,253,170,83,151,181615.78,9632.32,19,9.82,A_gate_bidmode
dma,bid_first,0.04,3,0.0628,50,470544.59,56.85,29.39,-6.46,257,174,83,155,187965.94,9759.32,19,9.81,A_gate_bidmode
rsi,off,0.04,3,0.0638,50,353981.59,17.99,9.94,-3.1,152,152,0,133,62028.07,7240.56,19,7.57,A_gate_bidmode
rsi,compete,0.04,3,0.0638,50,467718.11,55.91,28.95,-5.17,259,171,88,152,183341.81,9666.84,19,9.68,A_gate_bidmode
rsi,new_first,0.04,3,0.0638,50,460616.0,53.54,27.82,-6.65,253,170,83,151,177613.72,9552.27,19,9.69,A_gate_bidmode
rsi,bid_first,0.04,3,0.0638,50,467875.12,55.96,28.97,-5.63,259,172,87,153,185476.79,9709.54,19,9.71,A_gate_bidmode
dma,off,0.04,3,0.0638,50,354773.32,18.26,10.08,-3.07,150,150,0,131,61824.04,7236.48,19,7.67,A_gate_bidmode
dma,compete,0.04,3,0.0638,50,468206.14,56.07,29.02,-4.86,248,166,82,147,182395.73,9647.91,19,10.09,A_gate_bidmode
dma,new_first,0.04,3,0.0638,50,464099.55,54.7,28.38,-6.77,248,166,82,147,179783.42,9595.67,19,9.99,A_gate_bidmode
dma,bid_first,0.04,3,0.0638,50,466783.67,55.59,28.8,-5.27,253,167,86,148,183168.81,9663.38,19,9.99,A_gate_bidmode
rsi,off,0.04,3,0.07,50,353284.14,17.76,9.81,-3.01,140,140,0,121,60437.5,7208.75,19,8.11,A_gate_bidmode
rsi,compete,0.04,3,0.07,50,471223.86,57.07,29.5,-6.37,241,156,85,137,184869.43,9697.39,19,10.65,A_gate_bidmode
rsi,new_first,0.04,3,0.07,50,464992.12,55.0,28.52,-6.58,248,166,82,147,183880.59,9677.61,19,10.27,A_gate_bidmode
rsi,bid_first,0.04,3,0.07,50,474252.96,58.08,29.98,-6.47,247,158,89,139,188925.85,9778.52,19,10.59,A_gate_bidmode
dma,off,0.04,3,0.07,50,354474.43,18.16,10.02,-3.2,143,143,0,124,62046.26,7240.93,19,8.11,A_gate_bidmode
dma,compete,0.04,3,0.07,50,471573.32,57.19,29.55,-6.18,242,159,83,140,185785.71,9715.71,19,10.61,A_gate_bidmode
dma,new_first,0.04,3,0.07,50,471675.03,57.23,29.57,-6.02,247,163,84,144,189311.72,9786.23,19,10.57,A_gate_bidmode
dma,bid_first,0.04,3,0.07,50,467280.66,55.76,28.88,-5.42,245,160,85,141,184694.44,9693.89,19,10.56,A_gate_bidmode
