rank,bid_mode,bid_threshold,max_bid,gate,parts,final_equity,total_return_pct,cagr_pct,max_drawdown_pct,buys,new_buys,bid_buys,sells,total_growth,final_ticket,open_positions,avg_sell_pnl_pct,sweep
rsi,off,0.04,3,0.0471,50,330558.35,10.19,5.14,-67.75,180,180,0,128,44007.71,6880.15,52,5.88,A_gate_bidmode
rsi,compete,0.04,3,0.0471,50,319906.7,6.64,3.37,-55.83,148,100,48,71,32252.79,6645.06,29,5.7,A_gate_bidmode
rsi,new_first,0.04,3,0.0471,50,328483.52,9.49,4.8,-66.07,179,175,4,123,42608.07,6852.16,52,5.78,A_gate_bidmode
rsi,bid_first,0.04,3,0.0471,50,316693.28,5.56,2.84,-56.02,134,78,56,57,28114.71,6562.29,21,5.55,A_gate_bidmode
dma,off,0.04,3,0.0471,50,329224.78,9.74,4.92,-63.86,175,175,0,123,41691.09,6833.82,52,5.82,A_gate_bidmode
dma,compete,0.04,3,0.0471,50,328413.34,9.47,4.79,-60.37,153,103,50,74,34371.68,6687.43,29,5.64,A_gate_bidmode
dma,new_first,0.04,3,0.0471,50,330608.88,10.2,5.15,-67.92,178,173,5,121,43187.97,6863.76,52,5.9,A_gate_bidmode
dma,bid_first,0.04,3,0.0471,50,323446.84,7.82,3.96,-54.97,132,80,52,55,27178.61,6543.57,25,5.54,A_gate_bidmode
rsi,off,0.04,3,0.05,50,334143.34,11.38,5.73,-69.57,180,180,0,128,47055.5,6941.11,52,6.24,A_gate_bidmode
rsi,compete,0.04,3,0.05,50,319484.55,6.49,3.3,-59.97,142,99,43,70,31872.91,6637.46,29,5.96,A_gate_bidmode
rsi,new_first,0.04,3,0.05,50,332548.15,10.85,5.47,-65.87,179,175,4,123,45795.52,6915.91,52,6.13,A_gate_bidmode
rsi,bid_first,0.04,3,0.05,50,322714.69,7.57,3.84,-57.16,136,82,54,54,30064.19,6601.28,28,5.97,A_gate_bidmode
dma,off,0.04,3,0.05,50,332697.63,10.9,5.49,-67.98,177,177,0,125,44720.35,6894.41,52,6.1,A_gate_bidmode
dma,compete,0.04,3,0.05,50,323820.79,7.94,4.03,-60.48,141,99,42,68,31858.2,6637.16,31,5.97,A_gate_bidmode
dma,new_first,0.04,3,0.05,50,330215.86,10.07,5.08,-70.14,170,166,4,114,42702.41,6854.05,52,6.19,A_gate_bidmode
dma,bid_first,0.04,3,0.05,50,321090.89,7.03,3.57,-52.88,120,72,48,44,24156.05,6483.12,28,5.84,A_gate_bidmode
rsi,off,0.04,3,0.0628,50,332154.57,10.72,5.4,-67.49,148,148,0,96,41842.44,6836.85,52,7.4,A_gate_bidmode
rsi,compete,0.04,3,0.0628,50,315417.41,5.14,2.62,-53.93,120,82,38,53,28445.67,6568.91,29,7.14,A_gate_bidmode
rsi,new_first,0.04,3,0.0628,50,330346.3,10.12,5.1,-61.76,141,138,3,87,40472.49,6809.45,51,7.71,A_gate_bidmode
rsi,bid_first,0.04,3,0.0628,50,318187.92,6.06,3.09,-51.86,101,53,48,33,23156.1,6463.12,20,7.5,A_gate_bidmode
dma,off,0.04,3,0.0628,50,332245.49,10.75,5.42,-67.96,151,151,0,98,42122.01,6842.44,53,7.3,A_gate_bidmode
dma,compete,0.04,3,0.0628,50,319926.08,6.64,3.38,-58.17,113,74,39,47,26626.1,6532.52,27,7.22,A_gate_bidmode
dma,new_first,0.04,3,0.0628,50,329986.73,10.0,5.04,-63.96,149,144,5,92,41167.64,6823.35,52,7.32,A_gate_bidmode
dma,bid_first,0.04,3,0.0628,50,318928.35,6.31,3.21,-52.74,100,53,47,33,24327.78,6486.56,20,7.36,A_gate_bidmode
rsi,off,0.04,3,0.0638,50,332703.79,10.9,5.49,-67.51,147,147,0,95,41929.09,6838.58,52,7.49,A_gate_bidmode
rsi,compete,0.04,3,0.0638,50,316388.22,5.46,2.79,-53.8,116,79,37,53,28214.75,6564.3,26,7.37,A_gate_bidmode
rsi,new_first,0.04,3,0.0638,50,329875.32,9.96,5.03,-59.65,140,137,3,86,40346.9,6806.94,51,7.78,A_gate_bidmode
rsi,bid_first,0.04,3,0.0638,50,320188.07,6.73,3.42,-51.32,108,60,48,35,25284.04,6505.68,25,7.68,A_gate_bidmode
dma,off,0.04,3,0.0638,50,330802.18,10.27,5.18,-67.66,146,146,0,93,40892.58,6817.85,53,7.47,A_gate_bidmode
dma,compete,0.04,3,0.0638,50,321749.65,7.25,3.68,-60.2,114,76,38,47,28099.76,6562.0,29,7.48,A_gate_bidmode
dma,new_first,0.04,3,0.0638,50,330441.46,10.15,5.12,-63.9,145,140,5,89,40547.39,6810.95,51,7.45,A_gate_bidmode
dma,bid_first,0.04,3,0.0638,50,316424.98,5.47,2.79,-52.78,98,51,47,30,20367.77,6407.36,21,7.35,A_gate_bidmode
rsi,off,0.04,3,0.07,50,335575.05,11.86,5.96,-67.08,143,143,0,90,44731.54,6894.63,53,8.37,A_gate_bidmode
rsi,compete,0.04,3,0.07,50,316053.48,5.35,2.73,-49.75,107,70,37,43,25484.66,6509.69,27,7.98,A_gate_bidmode
rsi,new_first,0.04,3,0.07,50,326613.48,8.87,4.49,-64.09,125,122,3,72,34588.77,6691.78,50,8.1,A_gate_bidmode
rsi,bid_first,0.04,3,0.07,50,320450.44,6.82,3.47,-52.37,106,56,50,34,25745.06,6514.9,22,8.08,A_gate_bidmode
dma,off,0.04,3,0.07,50,328588.04,9.53,4.81,-65.76,136,136,0,84,39374.58,6787.49,52,7.97,A_gate_bidmode
dma,compete,0.04,3,0.07,50,320122.43,6.71,3.41,-63.41,110,72,38,44,26069.07,6521.38,28,7.69,A_gate_bidmode
dma,new_first,0.04,3,0.07,50,328404.69,9.47,4.78,-63.93,135,131,4,80,38772.85,6775.46,51,7.96,A_gate_bidmode
dma,bid_first,0.04,3,0.07,50,312962.68,4.32,2.21,-54.22,85,43,42,25,16010.03,6320.2,18,7.78,A_gate_bidmode
rsi,off,0.04,3,0.08,50,330282.12,10.09,5.09,-67.86,123,123,0,70,38464.72,6769.29,53,9.29,A_gate_bidmode
rsi,compete,0.04,3,0.08,50,317362.88,5.79,2.95,-45.77,98,67,31,38,24357.21,6487.14,29,8.95,A_gate_bidmode
rsi,new_first,0.04,3,0.08,50,329014.07,9.67,4.88,-66.17,121,118,3,67,36600.92,6732.02,51,9.08,A_gate_bidmode
rsi,bid_first,0.04,3,0.08,50,316779.05,5.59,2.85,-51.42,99,49,50,29,25872.42,6517.45,20,9.07,A_gate_bidmode
dma,off,0.04,3,0.08,50,328416.57,9.47,4.79,-65.79,119,119,0,66,35548.35,6710.97,53,9.17,A_gate_bidmode
dma,compete,0.04,3,0.08,50,327572.82,9.19,4.65,-64.1,109,69,40,40,31898.68,6637.97,29,9.32,A_gate_bidmode
dma,new_first,0.04,3,0.08,50,330698.24,10.23,5.16,-65.67,125,121,4,69,38723.98,6774.48,52,9.12,A_gate_bidmode
dma,bid_first,0.04,3,0.08,50,318597.58,6.2,3.16,-60.64,89,42,47,25,22250.28,6445.01,17,9.39,A_gate_bidmode
rsi,compete,0.025,2,0.0638,50,325410.73,8.47,4.29,-56.22,132,83,49,56,34941.14,6698.82,27,7.56,B_bid_params
dma,compete,0.025,2,0.0638,50,322398.93,7.47,3.79,-58.2,119,77,42,48,29234.94,6584.7,29,7.63,B_bid_params
rsi,compete,0.025,3,0.0638,50,319694.37,6.56,3.34,-61.57,115,70,45,45,28692.71,6573.85,25,7.62,B_bid_params
dma,compete,0.025,3,0.0638,50,321810.97,7.27,3.69,-57.7,115,74,41,43,28384.5,6567.69,31,7.63,B_bid_params
rsi,compete,0.025,4,0.0638,50,319821.83,6.61,3.36,-55.84,113,67,46,43,27864.01,6557.28,24,7.65,B_bid_params
dma,compete,0.025,4,0.0638,50,321810.97,7.27,3.69,-57.7,115,74,41,43,28384.5,6567.69,31,7.63,B_bid_params
rsi,compete,0.03,2,0.0638,50,317505.52,5.84,2.97,-58.31,119,76,43,51,28895.09,6577.9,25,7.45,B_bid_params
dma,compete,0.03,2,0.0638,50,321275.22,7.09,3.6,-62.72,111,71,40,44,25806.68,6516.13,27,7.4,B_bid_params
rsi,compete,0.03,3,0.0638,50,320212.03,6.74,3.43,-57.5,120,75,45,50,29772.32,6595.45,25,7.48,B_bid_params
dma,compete,0.03,3,0.0638,50,320140.46,6.71,3.41,-56.23,110,69,41,42,25981.59,6519.63,27,7.48,B_bid_params
rsi,compete,0.03,4,0.0638,50,316490.39,5.5,2.8,-58.58,115,69,46,43,27802.76,6556.06,26,7.46,B_bid_params
dma,compete,0.03,4,0.0638,50,319850.4,6.62,3.37,-56.23,108,66,42,42,25981.59,6519.63,24,7.48,B_bid_params
rsi,compete,0.04,2,0.0638,50,315554.15,5.18,2.65,-54.42,117,80,37,53,27361.56,6547.23,27,7.17,B_bid_params
dma,compete,0.04,2,0.0638,50,324570.52,8.19,4.15,-62.39,124,83,41,54,30374.82,6607.5,29,7.24,B_bid_params
rsi,compete,0.04,3,0.0638,50,316388.22,5.46,2.79,-53.8,116,79,37,53,28214.75,6564.3,26,7.37,B_bid_params
dma,compete,0.04,3,0.0638,50,321749.65,7.25,3.68,-60.2,114,76,38,47,28099.76,6562.0,29,7.48,B_bid_params
rsi,compete,0.04,4,0.0638,50,316699.04,5.57,2.84,-53.8,116,78,38,53,28214.75,6564.3,25,7.37,B_bid_params
dma,compete,0.04,4,0.0638,50,321749.65,7.25,3.68,-60.2,114,76,38,47,28099.76,6562.0,29,7.48,B_bid_params
rsi,compete,0.05,2,0.0638,50,322167.11,7.39,3.75,-58.25,124,85,39,54,31313.4,6626.27,31,7.64,B_bid_params
dma,compete,0.05,2,0.0638,50,318090.67,6.03,3.07,-61.93,110,75,35,47,25367.7,6507.35,28,7.42,B_bid_params
rsi,compete,0.05,3,0.0638,50,327360.09,9.12,4.61,-61.37,134,93,41,62,35279.13,6705.58,31,7.43,B_bid_params
dma,compete,0.05,3,0.0638,50,318911.26,6.3,3.21,-58.09,112,75,37,47,26438.95,6528.78,28,7.37,B_bid_params
rsi,compete,0.05,4,0.0638,50,327360.09,9.12,4.61,-61.37,134,93,41,62,35279.13,6705.58,31,7.43,B_bid_params
dma,compete,0.05,4,0.0638,50,318911.26,6.3,3.21,-58.09,112,75,37,47,26438.95,6528.78,28,7.37,B_bid_params
rsi,off,0.04,3,0.0638,30,316482.93,5.49,2.8,-64.72,71,71,0,40,29521.78,10984.06,31,7.49,C_parts
rsi,compete,0.04,3,0.0638,30,311292.52,3.76,1.93,-59.03,65,51,14,31,25441.52,10848.05,20,7.67,C_parts
dma,off,0.04,3,0.0638,30,318528.61,6.18,3.14,-57.89,71,71,0,40,29883.94,10996.13,31,7.58,C_parts
dma,compete,0.04,3,0.0638,30,318407.6,6.14,3.12,-67.76,71,58,13,34,29186.22,10972.87,24,7.43,C_parts
rsi,off,0.04,3,0.0638,40,324153.4,8.05,4.08,-58.97,101,101,0,60,34191.39,8354.78,41,7.74,C_parts
rsi,compete,0.04,3,0.0638,40,312739.0,4.25,2.17,-56.54,81,59,22,35,21921.64,8048.04,24,7.56,C_parts
dma,off,0.04,3,0.0638,40,322058.0,7.35,3.73,-61.52,104,104,0,62,33383.04,8334.58,42,7.35,C_parts
dma,compete,0.04,3,0.0638,40,318250.14,6.08,3.1,-65.71,93,64,29,39,27694.38,8192.36,25,7.25,C_parts
rsi,off,0.04,3,0.0638,50,332703.79,10.9,5.49,-67.51,147,147,0,95,41929.09,6838.58,52,7.49,C_parts
rsi,compete,0.04,3,0.0638,50,316388.22,5.46,2.79,-53.8,116,79,37,53,28214.75,6564.3,26,7.37,C_parts
