strategy,instrument,entry_date,exit_date,entry_price,exit_price,shares,gross_pnl,costs,pnl,pnl_pct,cost_stt,cost_txn,cost_dp,cost_stamp,cost_gst,reason,regime,duration
52-Week High Breakout,Bank Nifty,2013-01-01,2013-02-05,12660.33,12461.37,7,-1392.71,210.82,-1603.53,-1.81,175.85,5.22,15.34,13.29,0.9401,Signal,bull,35
52-Week High Breakout,Bank Nifty,2014-05-09,2014-07-10,13757.22,14814.12,6,6341.42,205.33,6136.09,7.43,171.43,5.09,15.34,12.38,0.9165,Signal,bull,62
52-Week High Breakout,Bank Nifty,2014-11-21,2015-02-06,18065.12,18807.17,5,3710.24,219.9,3490.34,3.86,184.36,5.48,15.34,13.55,0.9856,TrailingStop,bull,77
52-Week High Breakout,Bank Nifty,2016-07-28,2016-09-29,19085.87,19173.84,5,439.85,227.85,212.0,0.22,191.3,5.68,15.34,14.31,1.0227,Signal,bull,63
52-Week High Breakout,Bank Nifty,2019-05-27,2019-07-10,31663.11,30506.48,3,-3469.87,222.82,-3692.69,-3.89,186.51,5.54,15.34,14.25,0.9971,Signal,bull,44
52-Week High Breakout,Bank Nifty,2019-11-28,2020-01-06,32138.64,31221.17,3,-2752.41,226.73,-2979.14,-3.09,190.08,5.65,15.34,14.46,1.0162,Signal,bull,39
52-Week High Breakout,Bank Nifty,2021-02-02,2021-03-18,34284.63,33920.51,2,-728.24,166.95,-895.19,-1.31,136.41,4.05,15.34,10.29,0.7292,TrailingStop,bull,44
52-Week High Breakout,Bank Nifty,2021-09-16,2021-11-16,37687.0,38287.5,2,1201.01,184.07,1016.94,1.35,151.95,4.51,15.34,11.31,0.8123,Signal,bull,61
52-Week High Breakout,Bank Nifty,2022-11-07,2022-12-23,41707.06,41646.73,2,-120.65,200.57,-321.22,-0.39,166.71,4.95,15.34,12.51,0.8912,Signal,bull,46
52-Week High Breakout,Bank Nifty,2023-07-04,2023-08-03,45324.1,44491.19,2,-1665.81,215.04,-1880.85,-2.07,179.63,5.34,15.34,13.6,0.9603,Signal,bull,30
52-Week High Breakout,Bank Nifty,2023-12-04,2024-01-17,46454.61,46041.42,2,-826.39,220.94,-1047.33,-1.13,184.99,5.49,15.34,13.94,0.989,Signal,bull,44
52-Week High Breakout,Bank Nifty,2024-06-03,2024-06-04,51005.44,46889.81,1,-4115.63,124.41,-4240.04,-8.31,97.9,2.91,15.34,7.65,0.5233,StopLoss,bull,1
52-Week High Breakout,Bank Nifty,2024-09-20,2024-10-04,53820.1,51436.32,1,-2383.78,132.46,-2516.24,-4.68,105.26,3.13,15.34,8.07,0.5627,Signal,bull,14
52-Week High Breakout,Bank Nifty,2025-06-06,2025-07-28,56606.69,56056.86,1,-549.83,140.56,-690.39,-1.22,112.66,3.35,15.34,8.49,0.6023,Signal,bull,52
52-Week High Breakout,Bank Nifty,2025-10-20,2026-01-21,58062.22,58770.9,1,708.68,145.09,563.59,0.97,116.83,3.47,15.34,8.71,0.6246,Signal,bull,93
52-Week High Breakout,Nifty 50,2013-01-21,2013-02-07,6085.34,5935.83,15,-2242.66,215.85,-2458.51,-2.69,180.32,5.36,15.34,13.69,0.964,Signal,bull,17
52-Week High Breakout,Nifty 50,2014-03-07,2014-08-08,6529.91,7564.77,14,14487.93,233.49,14254.44,15.59,197.33,5.86,15.34,13.71,1.0549,Signal,bull,154
52-Week High Breakout,Nifty 50,2015-01-29,2015-03-13,8956.83,8643.43,11,-3447.4,230.7,-3678.1,-3.73,193.6,5.75,15.34,14.78,1.035,Signal,bull,43
52-Week High Breakout,Nifty 50,2016-08-31,2016-09-29,8790.59,8586.95,11,-2240.03,227.89,-2467.92,-2.55,191.15,5.68,15.34,14.5,1.0219,Signal,bull,29
52-Week High Breakout,Nifty 50,2017-05-04,2017-08-11,9364.58,9705.94,10,3413.64,226.97,3186.67,3.4,190.71,5.66,15.34,14.05,1.0195,Signal,bull,99
52-Week High Breakout,Nifty 50,2017-10-25,2017-11-15,10300.5,10112.99,10,-1875.07,242.28,-2117.35,-2.06,204.13,6.06,15.34,15.45,1.0913,Signal,bull,21
52-Week High Breakout,Nifty 50,2018-01-18,2018-02-06,10822.41,10493.0,9,-2964.67,228.7,-3193.37,-3.28,191.84,5.7,15.34,14.61,1.0256,Signal,bull,19
52-Week High Breakout,Nifty 50,2018-07-26,2018-09-18,11172.88,11273.26,8,803.02,214.79,588.23,0.66,179.57,5.33,15.34,13.41,0.96,Signal,bull,54
52-Week High Breakout,Nifty 50,2021-01-12,2021-01-29,14570.73,13627.78,6,-5657.7,203.74,-5861.44,-6.7,169.19,5.02,15.34,13.11,0.9045,Signal,bull,17
52-Week High Breakout,Nifty 50,2021-08-04,2021-11-18,16266.93,17755.92,5,7444.95,203.79,7241.16,8.9,170.11,5.05,15.34,12.2,0.9094,Signal,bull,106
52-Week High Breakout,Nifty 50,2023-06-28,2023-08-25,18981.59,19256.17,5,1372.91,227.66,1145.25,1.21,191.19,5.68,15.34,14.24,1.0221,Signal,bull,58
52-Week High Breakout,Nifty 50,2023-12-04,2024-03-19,20697.14,21806.54,4,4437.59,203.9,4233.69,5.11,170.01,5.05,15.34,12.42,0.9089,Signal,bull,106
52-Week High Breakout,Nifty 50,2024-06-03,2024-06-04,23275.53,21397.43,4,-7512.41,214.44,-7726.85,-8.3,178.69,5.31,15.34,13.97,0.9553,StopLoss,bull,1
52-Week High Breakout,Nifty 50,2024-08-30,2024-10-04,25248.52,25002.09,3,-739.28,182.89,-922.17,-1.22,150.75,4.48,15.34,11.36,0.8059,Signal,bull,35
52-Week High Breakout,Nifty 50,2025-10-23,2025-12-18,25904.35,25802.64,3,-305.11,187.71,-492.82,-0.63,155.12,4.61,15.34,11.66,0.8293,Signal,bull,56
ADX Breakout,Bank Nifty,2009-11-09,2009-11-19,9141.96,9037.02,10,-1049.38,217.4,-1266.78,-1.39,181.79,5.4,15.34,13.71,0.9718,Signal,bull,10
ADX Breakout,Bank Nifty,2009-12-23,2010-01-12,8923.41,8980.5,10,570.97,214.22,356.75,0.4,179.04,5.32,15.34,13.39,0.9571,Signal,bull,20
ADX Breakout,Bank Nifty,2010-03-23,2010-04-13,9227.4,9478.15,10,2507.44,222.98,2284.46,2.48,187.06,5.56,15.34,13.84,1.0,Signal,bull,21
ADX Breakout,Bank Nifty,2010-09-01,2010-10-18,10885.06,12324.99,8,11519.41,220.78,11298.63,12.97,185.68,5.51,15.34,13.06,0.9926,Signal,bull,47
ADX Breakout,Bank Nifty,2010-12-02,2010-12-03,12478.69,12342.88,8,-1086.47,236.04,-1322.51,-1.32,198.57,5.9,15.34,14.97,1.0616,Signal,bull,1
ADX Breakout,Bank Nifty,2011-01-24,2011-01-28,11156.6,10572.84,9,-5253.82,233.02,-5486.84,-5.46,195.56,5.81,15.34,15.06,1.0455,Signal,bull,4
